Name,Pos,GP,G,A,P,PIM,TOI,SH,G/GP,A/GP,P/GP,HITS,BS,G/A,Label
Ivan Barbashev,F,82,16,29,45,42,16.45,0.46,0.195,0.354,0.549,182,46,0.5517241379310345,Power-forward
Jack Roslovic,F,77,11,33,44,10,16.26,1.38,0.143,0.429,0.571,42,53,0.3333333333333333,Two-way
Barrett Hayton,F,82,19,24,43,42,17.29,1.24,0.232,0.293,0.524,83,33,0.7916666666666666,Playmaker
Scott Laughton,F,78,18,25,43,50,18.17,2.11,0.231,0.321,0.551,156,57,0.72,Power-forward
Jesperi Kotkaniemi,F,82,18,25,43,50,14.44,0.08,0.22,0.305,0.524,105,21,0.72,Playmaker
Thomas Novak,F,51,17,26,43,8,14.39,0.0,0.333,0.51,0.843,9,23,0.6538461538461539,Playmaker
Mason McTavish,F,80,17,26,43,44,15.22,0.02,0.213,0.325,0.538,55,37,0.6538461538461539,Playmaker
Andrew Mangiapane,F,82,17,26,43,40,16.49,1.05,0.207,0.317,0.524,86,26,0.6538461538461539,Playmaker
Eetu Luostarinen,F,82,17,26,43,28,15.59,2.2,0.207,0.317,0.524,64,51,0.6538461538461539,Two-way
Darnell Nurse,D,82,12,31,43,64,23.29,2.54,0.146,0.378,0.524,146,164,0.3870967741935484,All-around
K'Andre Miller,D,79,9,34,43,47,21.57,1.53,0.114,0.43,0.544,162,105,0.2647058823529412,All-around
Filip Forsberg,F,50,19,23,42,20,17.28,0.01,0.38,0.46,0.84,86,20,0.8260869565217391,Sniper
Anthony DeAngelo,D,70,11,31,42,73,22.03,1.03,0.157,0.443,0.6,52,79,0.3548387096774194,Offensive
Andrew Copp,F,82,9,33,42,25,18.09,2.27,0.11,0.402,0.512,32,45,0.2727272727272727,Two-way
Erik Gustafsson,D,70,7,35,42,23,19.46,0.09,0.1,0.5,0.6,52,63,0.2,Offensive
Moritz Seider,D,82,5,37,42,40,23.08,2.35,0.061,0.451,0.512,207,190,0.13513513513513514,All-around
Nino Niederreiter,F,78,24,17,41,22,16.17,0.0,0.308,0.218,0.526,165,33,1.411764705882353,Power-forward
Wyatt Johnston,F,82,24,17,41,20,15.28,0.16,0.293,0.207,0.5,22,31,1.411764705882353,Playmaker
Gabriel Vilardi,F,63,23,18,41,18,15.36,0.01,0.365,0.286,0.651,41,33,1.2777777777777777,Sniper
Frank Vatrano,F,81,22,19,41,66,16.4,0.56,0.272,0.235,0.506,86,75,1.1578947368421053,Playmaker
Ryan Strome,F,82,15,26,41,79,17.02,0.11,0.183,0.317,0.5,29,24,0.5769230769230769,Playmaker
Erik Haula,F,80,14,27,41,47,16.37,1.56,0.175,0.338,0.513,92,54,0.5185185185185185,Two-way
Shayne Gostisbehere,D,75,13,28,41,32,20.49,0.35,0.173,0.373,0.547,46,89,0.4642857142857143,Offensive
Gustav Forsling,D,82,13,28,41,40,23.26,2.58,0.159,0.341,0.5,69,106,0.4642857142857143,All-around
Kristopher Letang,D,64,12,29,41,30,24.51,0.56,0.188,0.453,0.641,162,108,0.41379310344827586,Offensive
Thomas Chabot,D,68,11,30,41,52,24.58,0.11,0.162,0.441,0.603,79,123,0.36666666666666664,Offensive
Mikael Granlund,F,79,10,31,41,20,17.49,1.12,0.127,0.392,0.519,78,60,0.3225806451612903,Playmaker
Shea Theodore,D,55,8,33,41,18,21.25,0.01,0.145,0.6,0.745,16,86,0.24242424242424243,Offensive
Morgan Rielly,D,65,4,37,41,21,21.42,0.57,0.062,0.569,0.631,70,85,0.10810810810810811,Offensive
Victor Olofsson,F,75,28,12,40,4,14.21,0.0,0.373,0.16,0.533,16,15,2.3333333333333335,Sniper
Jaden Schwartz,F,71,21,19,40,22,17.25,0.13,0.296,0.268,0.563,55,25,1.105263157894737,Playmaker
Andreas Athanasiou,F,81,20,20,40,34,16.0,0.03,0.247,0.247,0.494,43,44,1.0,Playmaker
Anthony Beauvillier,F,82,18,22,40,24,16.16,0.16,0.22,0.268,0.488,78,30,0.8181818181818182,Playmaker
Kaapo Kakko,F,82,18,22,40,8,15.18,0.26,0.22,0.268,0.488,26,27,0.8181818181818182,Playmaker
Sam Bennett,F,63,16,24,40,54,17.24,1.1400000000000001,0.254,0.381,0.635,150,35,0.6666666666666666,Power-forward
Kent Johnson,F,79,16,24,40,14,14.3,0.0,0.203,0.304,0.506,15,30,0.6666666666666666,Playmaker
Jean-Gabriel Pageau,F,70,13,27,40,14,17.37,1.56,0.186,0.386,0.571,175,61,0.48148148148148145,Power-forward
Evan Bouchard,D,82,8,32,40,28,18.3,0.32,0.098,0.39,0.488,95,77,0.25,Offensive
Calle Järnkrok,F,73,20,19,39,14,14.22,1.3599999999999999,0.274,0.26,0.534,50,19,1.0526315789473684,Two-way
Evan Rodrigues,F,69,16,23,39,30,17.51,0.31,0.232,0.333,0.565,34,27,0.6956521739130435,Playmaker
Alexis Lafrenière,F,81,16,23,39,33,15.13,0.01,0.198,0.284,0.481,141,28,0.6956521739130435,Playmaker
Joel Farabee,F,82,15,24,39,41,17.0,0.59,0.183,0.293,0.476,71,45,0.625,Playmaker
Seth Jarvis,F,82,14,25,39,12,16.12,0.09,0.171,0.305,0.476,73,48,0.56,Playmaker
Andre Burakovsky,F,49,13,26,39,14,16.33,0.0,0.265,0.531,0.796,17,15,0.5,Playmaker
Filip Hronek,D,64,9,30,39,34,21.41,1.38,0.141,0.469,0.609,102,58,0.3,All-around
Adam Henrique,F,62,22,16,38,22,18.1,2.29,0.355,0.258,0.613,28,46,1.375,Two-way
Frederick Gaudreau,F,82,19,19,38,10,16.02,2.04,0.232,0.232,0.463,42,52,1.0,Two-way
Brady Skjei,D,81,18,20,38,40,21.48,2.18,0.222,0.247,0.469,71,62,0.9,All-around
Blake Coleman,F,82,18,20,38,54,15.12,1.25,0.22,0.244,0.463,107,39,0.9,Playmaker
Mark Stone,F,43,17,21,38,10,19.22,1.11,0.395,0.488,0.884,31,23,0.8095238095238095,Sniper
Kirby Dach,F,58,14,24,38,43,18.29,0.2,0.241,0.414,0.655,53,38,0.5833333333333334,Playmaker
Aaron Ekblad,D,71,14,24,38,68,23.23,2.4699999999999998,0.197,0.338,0.535,77,80,0.5833333333333334,All-around
Alexander Wennberg,F,82,13,25,38,20,18.41,2.21,0.159,0.305,0.463,43,63,0.52,Two-way
Noah Cates,F,82,13,25,38,12,17.46,1.51,0.159,0.305,0.463,86,65,0.52,Two-way
Nikolaj Ehlers,F,45,12,26,38,11,15.38,0.0,0.267,0.578,0.844,36,10,0.46153846153846156,Playmaker
Sean Durzi,D,72,9,29,38,50,19.47,1.27,0.125,0.403,0.528,68,142,0.3103448275862069,Offensive
Noah Hanifin,D,81,7,31,38,33,22.38,2.2,0.086,0.383,0.469,76,129,0.22580645161290322,All-around
Taylor Raddysh,F,78,20,17,37,16,16.34,0.0,0.256,0.218,0.474,82,38,1.1764705882352942,Playmaker
