Name,Pos,GP,G,A,P,PIM,TOI,SH,G/GP,A/GP,P/GP,HITS,BS,G/A,Label
Warren Foegele,F,67,13,15,28,28,12.42,0.32,0.194,0.224,0.418,96,22,0.8666666666666667,Grinder
Ryan Johansen,F,55,12,16,28,32,15.45,0.02,0.218,0.291,0.509,49,19,0.75,Playmaker
Kyle Okposo,F,75,11,17,28,34,14.4,1.09,0.147,0.227,0.373,78,25,0.6470588235294118,Grinder
Christian Dvorak,F,64,10,18,28,6,16.51,2.18,0.156,0.281,0.438,13,66,0.5555555555555556,Grinder
Sam Steel,F,65,10,18,28,18,14.57,0.53,0.154,0.277,0.431,46,15,0.5555555555555556,Grinder
Oscar Sundqvist,F,67,10,18,28,28,13.51,0.45,0.149,0.269,0.418,63,28,0.5555555555555556,Grinder
Morgan Geekie,F,69,9,19,28,24,10.27,0.47,0.13,0.275,0.406,53,33,0.47368421052631576,Grinder
Ty Dellandrea,F,82,9,19,28,54,14.12,2.01,0.11,0.232,0.341,125,39,0.47368421052631576,Grinder
Mike Amadio,F,67,16,11,27,12,12.12,0.0,0.239,0.164,0.403,56,27,1.4545454545454546,Grinder
Ryan Donato,F,71,14,13,27,46,11.15,0.03,0.197,0.183,0.38,69,12,1.0769230769230769,Grinder
Miles Wood,F,76,13,14,27,76,12.06,0.01,0.171,0.184,0.355,100,19,0.9285714285714286,Grinder
Christian Fischer,F,80,13,14,27,20,14.5,2.13,0.163,0.175,0.338,126,37,0.9285714285714286,Grinder
Sam Lafferty,F,70,12,15,27,37,14.36,1.41,0.171,0.214,0.386,125,33,0.8,Grinder
Gustav Nyquist,F,51,11,16,27,16,17.37,1.38,0.216,0.314,0.529,41,30,0.6875,Two-way
Anthony Mantha,F,67,11,16,27,31,14.13,0.0,0.164,0.239,0.403,68,24,0.6875,Grinder
Nick Cousins,F,79,9,18,27,38,11.01,0.01,0.114,0.228,0.342,87,36,0.5,Grinder
Jaccob Slavin,D,76,7,20,27,8,21.59,2.42,0.092,0.263,0.355,36,103,0.35,Offensive
David Kämpf,F,82,7,20,27,8,15.18,2.38,0.085,0.244,0.329,74,29,0.35,Grinder
Dylan Demelo,D,75,6,21,27,50,19.33,2.38,0.08,0.28,0.36,120,102,0.2857142857142857,Offensive
Ivan Provorov,D,82,6,21,27,24,23.01,2.42,0.073,0.256,0.329,97,162,0.2857142857142857,Defensive
Kevin Shattenkirk,D,75,4,23,27,56,19.18,1.17,0.053,0.307,0.36,79,115,0.17391304347826086,Offensive
Colton Parayko,D,79,4,23,27,30,23.0,1.55,0.051,0.291,0.342,115,144,0.17391304347826086,Defensive
Nico Sturm,F,74,14,12,26,23,14.43,1.54,0.189,0.162,0.351,100,45,1.1666666666666667,Grinder
Nick Ritchie,F,74,13,13,26,53,13.32,0.0,0.176,0.176,0.351,218,32,1.0,Grinder
Jack McBain,F,82,12,14,26,64,13.58,2.07,0.146,0.171,0.317,304,51,0.8571428571428571,Grinder
Nick Foligno,F,60,10,16,26,45,12.21,0.08,0.167,0.267,0.433,147,29,0.625,Grinder
Jakob Silfverberg,F,81,10,16,26,32,15.1,2.39,0.123,0.198,0.321,10,51,0.625,Grinder
Peyton Krebs,F,74,9,17,26,50,13.5,0.41,0.122,0.23,0.351,93,20,0.5294117647058824,Grinder
Matt Roy,D,82,9,17,26,22,18.46,2.02,0.11,0.207,0.317,119,153,0.5294117647058824,Defensive
Logan O'Connor,F,82,9,17,26,37,14.12,1.48,0.11,0.207,0.317,116,50,0.5294117647058824,Grinder
Ryan Graves,D,78,8,18,26,28,19.56,2.24,0.103,0.231,0.333,83,152,0.4444444444444444,Defensive
Ryan Pulock,D,82,5,21,26,14,20.54,1.3900000000000001,0.061,0.256,0.317,140,128,0.23809523809523808,Defensive
Matt Grzelcyk,D,75,4,22,26,28,17.14,0.11,0.053,0.293,0.347,51,78,0.18181818181818182,Defensive
Michael Mcleod,F,80,4,22,26,43,12.15,1.1,0.05,0.275,0.325,127,51,0.18181818181818182,Grinder
Kirill Marchenko,F,59,21,4,25,16,16.11,0.03,0.356,0.068,0.424,34,39,5.25,Grinder
William Carrier,F,56,16,9,25,30,12.35,0.1,0.286,0.161,0.446,133,22,1.7777777777777777,Grinder
Nic Dowd,F,65,13,12,25,26,13.21,2.22,0.2,0.185,0.385,136,61,1.0833333333333333,Grinder
Corey Perry,F,81,12,13,25,95,11.33,0.0,0.148,0.16,0.309,48,25,0.9230769230769231,Grinder
Jimmy Vesey,F,81,11,14,25,20,13.36,1.28,0.136,0.173,0.309,98,40,0.7857142857142857,Grinder
Kailer Yamamoto,F,58,10,15,25,24,16.34,1.27,0.172,0.259,0.431,77,24,0.6666666666666666,Grinder
Mattias Janmark-Nylén,F,66,10,15,25,30,14.39,1.5699999999999998,0.152,0.227,0.379,20,26,0.6666666666666666,Grinder
Philipp Kurashev,F,70,9,16,25,14,17.25,0.51,0.129,0.229,0.357,38,34,0.5625,Grinder
Samuel Blais,F,71,9,16,25,30,11.47,0.0,0.127,0.225,0.352,238,35,0.5625,Grinder
Jamie Oleksiak,D,75,9,16,25,72,19.15,2.51,0.12,0.213,0.333,126,115,0.5625,Defensive
Joshua Bailey,F,64,8,17,25,2,15.08,1.15,0.125,0.266,0.391,11,31,0.47058823529411764,Grinder
Vladislav Namestnikov,F,77,8,17,25,35,12.37,0.34,0.104,0.221,0.325,108,39,0.47058823529411764,Grinder
Tyson Jost,F,71,7,18,25,34,13.14,1.17,0.099,0.254,0.352,61,32,0.3888888888888889,Grinder
Juuso Pärssinen,F,45,6,19,25,15,14.2,0.01,0.133,0.422,0.556,76,18,0.3157894736842105,Playmaker
Jake McCabe,D,76,3,22,25,56,19.28,1.58,0.039,0.289,0.329,163,151,0.13636363636363635,Defensive
Ryan Suter,D,82,3,22,25,26,20.22,1.29,0.037,0.268,0.305,81,115,0.13636363636363635,Defensive
Brian Dumoulin,D,82,1,24,25,16,20.38,2.57,0.012,0.293,0.305,123,142,0.041666666666666664,Defensive
Pius Suter,F,79,14,10,24,6,14.03,1.44,0.177,0.127,0.304,39,37,1.4,Grinder
Eric Robinson,F,72,12,12,24,6,13.56,2.12,0.167,0.167,0.333,124,32,1.0,Grinder
Yakov Trenin,F,77,12,12,24,47,15.08,2.1,0.156,0.156,0.312,167,30,1.0,Grinder
Matthew Nieto,F,81,12,12,24,16,13.31,1.46,0.148,0.148,0.296,43,32,1.0,Grinder
Bowen Byram,D,42,10,14,24,38,21.52,1.04,0.238,0.333,0.571,82,54,0.7142857142857143,Offensive
Esa Lindell,D,82,8,16,24,10,19.55,3.35,0.098,0.195,0.293,87,147,0.5,Defensive
Scott Mayfield,D,82,6,18,24,83,21.01,2.41,0.073,0.22,0.293,107,168,0.3333333333333333,Defensive
Adam Boqvist,D,46,5,19,24,8,18.38,0.02,0.109,0.413,0.522,23,47,0.2631578947368421,Offensive
Mark Giordano,D,78,4,20,24,53,18.57,2.17,0.051,0.256,0.308,60,147,0.2,Defensive
Marcus Pettersson,D,68,1,23,24,58,20.35,1.4,0.015,0.338,0.353,133,131,0.043478260869565216,Offensive
Matthew Benning,D,77,1,23,24,26,19.46,2.48,0.013,0.299,0.312,102,125,0.043478260869565216,Defensive
Noel Acciari,F,77,14,9,23,21,14.18,1.41,0.182,0.117,0.299,244,81,1.5555555555555556,Grinder
Derick Brassard,F,62,13,10,23,30,12.1,0.14,0.21,0.161,0.371,90,10,1.3,Grinder
Ryan McLeod,F,57,11,12,23,18,14.11,1.37,0.193,0.211,0.404,40,20,0.9166666666666666,Grinder
Dakota Joshua,F,79,11,12,23,60,11.31,0.58,0.139,0.152,0.291,222,30,0.9166666666666666,Grinder
Lars Eller,F,84,10,13,23,46,14.47,1.38,0.119,0.155,0.274,93,42,0.7692307692307693,Grinder
Ondrej Palat,F,49,8,15,23,6,15.32,0.06,0.163,0.306,0.469,70,44,0.5333333333333333,Playmaker
Trevor Van Riemsdyk,D,75,7,16,23,15,19.03,2.35,0.093,0.213,0.307,21,160,0.4375,Defensive
Travis Sanheim,D,81,7,16,23,40,20.24,1.49,0.086,0.198,0.284,61,137,0.4375,Defensive
Fabian Zetterlund,F,67,6,17,23,14,13.15,0.0,0.09,0.254,0.343,53,20,0.35294117647058826,Grinder
Olli Määttä,D,78,6,17,23,14,18.42,1.3599999999999999,0.077,0.218,0.295,78,128,0.35294117647058826,Defensive
Sebastian Aho,D,71,5,18,23,22,16.46,0.32,0.07,0.254,0.324,38,69,0.2777777777777778,Defensive
Connor Clifton,D,78,5,18,23,60,17.51,1.18,0.064,0.231,0.295,208,120,0.2777777777777778,Defensive
Nick Leddy,D,78,2,21,23,20,21.07,1.32,0.026,0.269,0.295,43,96,0.09523809523809523,Defensive
Brenden Dillon,D,82,2,21,23,76,19.35,2.34,0.024,0.256,0.28,198,108,0.09523809523809523,Defensive
Tom Wilson,F,33,13,9,22,78,17.37,1.3900000000000001,0.394,0.273,0.667,97,30,1.4444444444444444,Power-forward
Garnet Hathaway,F,84,13,9,22,69,11.47,1.28,0.155,0.107,0.262,268,83,1.4444444444444444,Grinder
Paul Stastny,F,73,9,13,22,16,11.52,0.03,0.123,0.178,0.301,21,18,0.6923076923076923,Grinder
Danton Heinen,F,65,8,14,22,12,10.45,0.01,0.123,0.215,0.338,76,26,0.5714285714285714,Grinder
Emil Bemström,F,55,7,15,22,6,12.06,0.0,0.127,0.273,0.4,16,21,0.4666666666666667,Grinder
Luke Schenn,D,70,4,18,22,84,16.21,1.3599999999999999,0.057,0.257,0.314,318,98,0.2222222222222222,Defensive
Quinton Byfield,F,53,3,19,22,30,14.03,0.05,0.057,0.358,0.415,53,16,0.15789473684210525,Grinder
Oliver Ekman-Larsson,D,54,2,20,22,22,20.1,1.02,0.037,0.37,0.407,58,43,0.1,Offensive
Alexander Romanov,D,76,2,20,22,43,19.26,2.01,0.026,0.263,0.289,198,129,0.1,Defensive
Nikita Zadorov,D,82,14,7,21,80,18.41,2.1,0.171,0.085,0.256,174,75,2.0,Defensive
Denis Malgin,F,65,13,8,21,8,10.55,0.0,0.2,0.123,0.323,68,18,1.625,Grinder
Klim Kostin,F,57,11,10,21,66,10.03,0.0,0.193,0.175,0.368,157,15,1.1,Grinder
Jesper Boqvist,F,70,10,11,21,2,11.36,0.28,0.143,0.157,0.3,50,20,0.9090909090909091,Grinder
Morgan Barron,F,70,8,13,21,31,13.15,1.32,0.114,0.186,0.3,118,44,0.6153846153846154,Grinder
Nicklas Bäckström,F,39,7,14,21,14,16.52,0.06,0.179,0.359,0.538,24,23,0.5,Playmaker
Marcus Foligno,F,65,7,14,21,97,14.59,1.02,0.108,0.215,0.323,237,40,0.5,Grinder
Adam Pelech,D,61,6,15,21,36,21.39,2.31,0.098,0.246,0.344,77,110,0.4,Defensive
Travis Hamonic,D,75,6,15,21,71,18.33,3.16,0.08,0.2,0.28,109,143,0.4,Defensive
Colin Miller,D,79,6,15,21,37,16.46,0.25,0.076,0.19,0.266,108,70,0.4,Defensive
Casey Cizikas,F,81,6,15,21,54,14.32,1.52,0.074,0.185,0.259,188,58,0.4,Grinder
Pierre-Olivier Joseph,D,75,5,16,21,44,15.14,0.11,0.067,0.213,0.28,88,36,0.3125,Defensive
Jonas Siegenthaler,D,80,4,17,21,44,20.09,2.13,0.05,0.213,0.263,101,151,0.23529411764705882,Defensive
Rafael Harvey-Pinard,F,34,14,6,20,10,17.13,1.28,0.412,0.176,0.588,57,56,2.3333333333333335,Sniper
Derek Ryan,F,80,13,7,20,28,11.09,1.13,0.163,0.088,0.25,54,42,1.8571428571428572,Grinder
Ryan Lomberg,F,82,12,8,20,88,11.18,0.21,0.146,0.098,0.244,149,24,1.5,Grinder
Sean Kuraly,F,71,11,9,20,68,15.04,2.16,0.155,0.127,0.282,187,46,1.2222222222222223,Grinder
Radek Faksa,F,81,11,9,20,39,13.43,1.51,0.136,0.111,0.247,89,69,1.2222222222222223,Grinder
Joseph Veleno,F,81,9,11,20,30,12.46,0.23,0.111,0.136,0.247,152,44,0.8181818181818182,Grinder
Trevor Lewis,F,82,9,11,20,18,12.07,1.42,0.11,0.134,0.244,158,33,0.8181818181818182,Grinder
Adam Ruzicka,F,44,6,14,20,8,11.34,0.0,0.136,0.318,0.455,28,8,0.42857142857142855,Playmaker
Nicklaus Perbix,D,69,5,15,20,22,15.23,0.04,0.072,0.217,0.29,73,65,0.3333333333333333,Defensive
Michael Anderson,D,77,5,15,20,40,21.39,2.18,0.065,0.195,0.26,162,129,0.3333333333333333,Defensive
David Savard,D,62,3,17,20,40,22.23,3.17,0.048,0.274,0.323,61,176,0.17647058823529413,Defensive
Rasmus Ristolainen,D,74,3,17,20,32,19.01,2.09,0.041,0.23,0.27,162,142,0.17647058823529413,Defensive
Brett Kulak,D,82,3,17,20,41,17.3,1.44,0.037,0.207,0.244,105,106,0.17647058823529413,Defensive
William Borgen,D,82,3,17,20,47,16.21,1.34,0.037,0.207,0.244,203,89,0.17647058823529413,Defensive
Cam York,D,54,2,18,20,18,19.38,0.23,0.037,0.333,0.37,44,69,0.1111111111111111,Offensive
Ryan McDonagh,D,71,2,18,20,22,21.31,3.04,0.028,0.254,0.282,63,165,0.1111111111111111,Defensive
Carl Grundström,F,57,12,7,19,16,10.45,0.33,0.211,0.123,0.333,144,17,1.7142857142857142,Grinder
Brock McGinn,F,75,12,7,19,21,13.02,2.17,0.16,0.093,0.253,84,43,1.7142857142857142,Grinder
Hudson Fasching,F,49,10,9,19,10,12.28,0.0,0.204,0.184,0.388,45,22,1.1111111111111112,Grinder
Nick Bonino,F,62,10,9,19,28,15.54,2.17,0.161,0.145,0.306,19,79,1.1111111111111112,Grinder
Alexei Toropchenko,F,69,10,9,19,12,12.04,1.06,0.145,0.13,0.275,122,46,1.1111111111111112,Grinder
Andrew Cogliano,F,79,10,9,19,44,12.37,1.54,0.127,0.114,0.241,55,54,1.1111111111111112,Grinder
Steven Lorentz,F,80,10,9,19,16,11.5,1.19,0.125,0.113,0.238,133,46,1.1111111111111112,Grinder
Maxime Comtois,F,64,9,10,19,76,13.48,0.06,0.141,0.156,0.297,81,27,0.9,Grinder
Max Jones,F,69,9,10,19,77,12.42,0.06,0.13,0.145,0.275,110,18,0.9,Grinder
Tyler Motte,F,62,8,11,19,6,12.34,2.04,0.129,0.177,0.306,118,60,0.7272727272727273,Grinder
Nate Schmidt,D,71,7,12,19,8,18.28,1.04,0.099,0.169,0.268,45,85,0.5833333333333334,Defensive
Milan Lucic,F,77,7,12,19,43,11.18,0.0,0.091,0.156,0.247,168,15,0.5833333333333334,Grinder
Matthew Martin,F,81,7,12,19,63,11.08,0.05,0.086,0.148,0.235,295,43,0.5833333333333334,Grinder
Vladislav Gavrikov,D,72,6,13,19,38,21.58,3.05,0.083,0.181,0.264,74,115,0.46153846153846156,Defensive
Ben Chiarot,D,76,5,14,19,51,20.36,2.25,0.066,0.184,0.25,147,163,0.35714285714285715,Defensive
Jake Evans,F,54,2,17,19,28,14.29,2.48,0.037,0.315,0.352,27,41,0.11764705882352941,Grinder
Paul Cotter,F,55,13,5,18,15,12.49,0.0,0.236,0.091,0.327,168,17,2.6,Grinder
Zemgus Girgensons,F,80,10,8,18,14,12.58,1.27,0.125,0.1,0.225,96,49,1.25,Grinder
Jake Walman,D,63,9,9,18,45,19.43,2.03,0.143,0.143,0.286,47,121,1.0,Defensive
Calle Rosén,D,49,8,10,18,8,15.36,0.47,0.163,0.204,0.367,16,51,0.8,Offensive
Adam Erne,F,61,8,10,18,21,13.22,1.37,0.131,0.164,0.295,160,55,0.8,Grinder
Keegan Kolesar,F,74,8,10,18,68,11.28,0.05,0.108,0.135,0.243,279,31,0.8,Grinder
Tomas Nosek,F,66,7,11,18,48,12.33,2.33,0.106,0.167,0.273,69,31,0.6363636363636364,Grinder
Timothy Liljegren,D,67,6,12,18,30,17.54,1.26,0.09,0.179,0.269,107,93,0.5,Defensive
Tanner Jeannot,F,76,6,12,18,107,14.15,1.56,0.079,0.158,0.237,290,62,0.5,Grinder
Connor Dewar,F,81,6,12,18,50,10.57,1.37,0.074,0.148,0.222,124,50,0.5,Grinder
Philip Tomasino,F,31,5,13,18,6,15.35,0.0,0.161,0.419,0.581,28,16,0.38461538461538464,Playmaker
Derek Grant,F,46,5,13,18,26,14.5,2.24,0.109,0.283,0.391,36,26,0.38461538461538464,Grinder
Braden Schneider,D,81,5,13,18,16,15.43,0.42,0.062,0.16,0.222,147,130,0.38461538461538464,Defensive
Kaiden Guhle,D,44,4,14,18,27,20.3,2.07,0.091,0.318,0.409,84,77,0.2857142857142857,Offensive
John Marino,D,64,4,14,18,20,21.04,3.0,0.063,0.219,0.281,44,81,0.2857142857142857,Defensive
Mathieu Joseph,F,56,3,15,18,36,14.01,2.3,0.054,0.268,0.321,80,28,0.2,Grinder
Erik Brännström,D,74,2,16,18,38,16.06,1.3,0.027,0.216,0.243,49,103,0.125,Defensive
Justin Holl,D,80,2,16,18,39,20.14,3.03,0.025,0.2,0.225,151,139,0.125,Defensive
Ryan Lindgren,D,63,1,17,18,45,18.5,2.04,0.016,0.27,0.286,68,92,0.058823529411764705,Defensive
Marc-Edouard Vlasic,D,78,1,17,18,16,17.28,2.39,0.013,0.218,0.231,45,116,0.058823529411764705,Defensive
Sheldon Dries,F,63,11,6,17,29,11.31,0.23,0.175,0.095,0.27,84,40,1.8333333333333333,Grinder
Noah Gregor,F,57,10,7,17,32,12.58,0.11,0.175,0.123,0.298,97,34,1.4285714285714286,Grinder
Mason Shaw,F,59,7,10,17,79,11.17,1.24,0.119,0.169,0.288,87,27,0.7,Grinder
Denis Guryanov,F,66,7,10,17,10,13.11,0.0,0.106,0.152,0.258,43,27,0.7,Grinder
Sean Monahan,F,25,6,11,17,16,17.22,1.3900000000000001,0.24,0.44,0.68,10,8,0.5454545454545454,Two-way
Jordan Harris,D,65,4,13,17,26,18.39,1.1400000000000001,0.062,0.2,0.262,53,98,0.3076923076923077,Defensive
Cole Smith,F,69,4,13,17,60,12.44,2.05,0.058,0.188,0.246,198,25,0.3076923076923077,Grinder
Ian Cole,D,78,3,14,17,61,19.23,2.5300000000000002,0.038,0.179,0.218,117,123,0.21428571428571427,Defensive
Nicolas Hague,D,81,3,14,17,51,18.05,0.43,0.037,0.173,0.21,117,133,0.21428571428571427,Defensive
Radko Gudas,D,72,2,15,17,79,17.21,2.3,0.028,0.208,0.236,312,124,0.13333333333333333,Defensive
Tyler Myers,D,78,1,16,17,76,20.54,2.12,0.013,0.205,0.218,93,144,0.0625,Defensive
Brayden McNabb,D,82,1,16,17,51,19.5,2.0,0.012,0.195,0.207,201,198,0.0625,Defensive
Jakub Vrana,F,25,11,5,16,10,14.33,0.0,0.44,0.2,0.64,14,6,2.2,Sniper
Craig Smith,F,64,9,7,16,18,10.59,0.0,0.141,0.109,0.25,48,21,1.2857142857142858,Grinder
Robby Fabbri,F,28,7,9,16,22,15.59,0.01,0.25,0.321,0.571,49,15,0.7777777777777778,Playmaker
Oliver Wahlstrom,F,35,7,9,16,32,12.09,0.0,0.2,0.257,0.457,50,15,0.7777777777777778,Playmaker
Tyler Pitlick,F,61,7,9,16,14,10.04,0.1,0.115,0.148,0.262,103,29,0.7777777777777778,Grinder
Jesse Ylönen,F,37,6,10,16,0,13.26,0.1,0.162,0.27,0.432,14,28,0.6,Grinder
Nils Lundkvist,D,60,6,10,16,26,16.18,0.02,0.1,0.167,0.267,49,67,0.6,Defensive
Martin Fehervary,D,67,6,10,16,31,20.0,1.3599999999999999,0.09,0.149,0.239,217,128,0.6,Defensive
Jani Hakanpää,D,82,6,10,16,60,19.19,3.16,0.073,0.122,0.195,224,128,0.6,Defensive
Mason Appleton,F,41,5,11,16,8,16.01,2.1,0.122,0.268,0.39,47,11,0.45454545454545453,Grinder
Boris Katchouk,F,58,5,11,16,27,12.05,1.01,0.086,0.19,0.276,85,15,0.45454545454545453,Grinder
Jesse Puljujärvi,F,75,5,11,16,32,12.13,0.0,0.067,0.147,0.213,139,26,0.45454545454545453,Grinder
Josh Leivo,F,51,4,12,16,25,11.53,0.0,0.078,0.235,0.314,55,13,0.3333333333333333,Grinder
Teodors Blueger,F,63,4,12,16,30,12.54,2.05,0.063,0.19,0.254,71,47,0.3333333333333333,Grinder
Nils Åman,F,68,4,12,16,18,12.42,1.12,0.059,0.176,0.235,44,41,0.3333333333333333,Grinder
Caleb Jones,D,73,4,12,16,40,19.12,0.34,0.055,0.164,0.219,116,118,0.3333333333333333,Defensive
Joshua Mahura,D,82,4,12,16,48,14.02,0.23,0.049,0.146,0.195,101,70,0.3333333333333333,Defensive
Ethan Bear,D,61,3,13,16,25,18.31,1.46,0.049,0.213,0.262,39,82,0.23076923076923078,Defensive
Dmitri Kulikov,D,67,3,13,16,34,19.28,2.59,0.045,0.194,0.239,96,108,0.23076923076923078,Defensive
Brandon Carlo,D,75,3,13,16,38,18.49,3.13,0.04,0.173,0.213,128,116,0.23076923076923078,Defensive
Carson Soucy,D,78,3,13,16,68,16.17,1.42,0.038,0.167,0.205,143,96,0.23076923076923078,Defensive
Nick Holden,D,65,2,14,16,10,16.42,2.44,0.031,0.215,0.246,79,69,0.14285714285714285,Defensive
Erik Cernak,D,70,2,14,16,53,19.14,2.58,0.029,0.2,0.229,209,100,0.14285714285714285,Defensive
Wade Allison,F,60,9,6,15,36,12.53,0.0,0.15,0.1,0.25,190,62,1.5,Grinder
Colin White,F,68,8,7,15,12,9.38,0.02,0.118,0.103,0.221,61,29,1.1428571428571428,Grinder
Michael Pezzetta,F,63,7,8,15,77,9.19,0.28,0.111,0.127,0.238,239,28,0.875,Grinder
Dylan Guenther,F,33,6,9,15,10,13.06,0.03,0.182,0.273,0.455,18,11,0.6666666666666666,Playmaker
Nathan Bastian,F,43,6,9,15,31,12.26,1.13,0.14,0.209,0.349,99,38,0.6666666666666666,Grinder
Rem Pitlick,F,46,6,9,15,22,12.55,0.23,0.13,0.196,0.326,23,18,0.6666666666666666,Grinder
Oskar Lindblom,F,73,6,9,15,18,10.34,0.4,0.082,0.123,0.205,64,24,0.6666666666666666,Grinder
Michael Eyssimont,F,54,5,10,15,63,12.15,0.03,0.093,0.185,0.278,107,19,0.5,Grinder
Mathieu Olivier,F,66,5,10,15,81,11.37,0.34,0.076,0.152,0.227,178,58,0.5,Grinder
Ryan Reaves,F,73,5,10,15,43,9.19,0.0,0.068,0.137,0.205,196,24,0.5,Grinder
Justin Barron,D,39,4,11,15,20,16.18,0.31,0.103,0.282,0.385,49,38,0.36363636363636365,Offensive
Alexei Protas,F,58,4,11,15,12,11.31,0.12,0.069,0.19,0.259,39,15,0.36363636363636365,Grinder
Rasmus Kupari,F,66,3,12,15,12,10.05,1.06,0.045,0.182,0.227,80,34,0.25,Grinder
Johnathan Kovacevic,D,77,3,12,15,39,17.25,1.5899999999999999,0.039,0.156,0.195,93,86,0.25,Defensive
Jacob Middleton,D,79,3,12,15,72,19.02,2.02,0.038,0.152,0.19,115,155,0.25,Defensive
Marc Staal,D,82,3,12,15,43,18.11,2.33,0.037,0.146,0.183,152,122,0.25,Defensive
Cody Ceci,D,80,1,14,15,24,20.08,2.55,0.013,0.175,0.188,139,110,0.07142857142857142,Defensive
Zach Aston-Reese,F,77,10,4,14,25,10.55,0.5,0.13,0.052,0.182,163,43,2.5,Grinder
Julien Gauthier,F,57,9,5,14,6,8.38,0.0,0.158,0.088,0.246,105,13,1.8,Grinder
Brendan Gallagher,F,37,8,6,14,45,14.16,0.0,0.216,0.162,0.378,18,13,1.3333333333333333,Grinder
Sam Gagner,F,48,8,6,14,13,12.1,0.0,0.167,0.125,0.292,16,14,1.3333333333333333,Grinder
Evgeny Svechnikov,F,59,8,6,14,26,10.44,0.0,0.136,0.102,0.237,100,21,1.3333333333333333,Grinder
Joel Armia,F,43,7,7,14,22,14.56,2.01,0.163,0.163,0.326,37,25,1.0,Grinder
Ryan Poehling,F,53,7,7,14,8,11.46,2.25,0.132,0.132,0.264,57,41,1.0,Grinder
Liam Foudy,F,62,7,7,14,8,12.08,1.06,0.113,0.113,0.226,60,18,1.0,Grinder
Alex Belzile,F,31,6,8,14,13,12.08,0.58,0.194,0.258,0.452,27,22,0.75,Playmaker
Axel Jonsson Fjällby,F,50,6,8,14,8,10.27,0.53,0.12,0.16,0.28,43,18,0.75,Grinder
Jujhar Khaira,F,51,6,8,14,31,13.52,1.37,0.118,0.157,0.275,108,40,0.75,Grinder
Jalen Chatfield,D,78,6,8,14,35,14.07,0.54,0.077,0.103,0.179,78,63,0.75,Defensive
Patrick Maroon,F,80,5,9,14,150,10.2,0.0,0.063,0.113,0.175,172,12,0.5555555555555556,Grinder
Nick Blankenburg,D,36,4,10,14,16,19.1,1.09,0.111,0.278,0.389,61,49,0.4,Offensive
Isac Lundeström,F,61,4,10,14,2,14.2,1.56,0.066,0.164,0.23,20,43,0.4,Grinder
Nick Seeler,D,77,4,10,14,56,14.29,1.0,0.052,0.13,0.182,126,161,0.4,Defensive
Mathew Dumba,D,79,4,10,14,81,21.16,1.48,0.051,0.127,0.177,104,116,0.4,Defensive
Jonas Brodin,D,60,3,11,14,30,22.51,2.57,0.05,0.183,0.233,50,130,0.2727272727272727,Defensive
Alec Martinez,D,77,3,11,14,29,19.13,1.38,0.039,0.143,0.182,48,244,0.2727272727272727,Defensive
Troy Stecher,D,81,3,11,14,44,16.22,2.1,0.037,0.136,0.173,70,92,0.2727272727272727,Defensive
Conor Timmins,D,27,2,12,14,8,15.05,0.04,0.074,0.444,0.519,23,18,0.16666666666666666,Offensive
Gavin Bayreuther,D,51,2,12,14,23,15.56,0.58,0.039,0.235,0.275,54,71,0.16666666666666666,Defensive
T.J. Brodie,D,58,2,12,14,14,21.13,2.56,0.034,0.207,0.241,47,111,0.16666666666666666,Defensive
Ilya Lyubushkin,D,68,2,12,14,38,15.0,2.03,0.029,0.176,0.206,99,104,0.16666666666666666,Defensive
Brett Ritchie,F,51,8,5,13,25,9.51,0.0,0.157,0.098,0.255,77,9,1.6,Grinder
Kiefer Sherwood,F,32,7,6,13,30,13.35,0.02,0.219,0.188,0.406,103,15,1.1666666666666667,Grinder
Connor Murphy,D,80,7,6,13,69,19.23,2.06,0.088,0.075,0.163,165,160,1.1666666666666667,Defensive
Brett Howden,F,54,6,7,13,55,13.03,0.45,0.111,0.13,0.241,107,34,0.8571428571428571,Grinder
Andrew Peeke,D,80,6,7,13,22,21.14,3.07,0.075,0.088,0.163,180,197,0.8571428571428571,Defensive
Luke Kunin,F,31,5,8,13,42,15.25,1.5,0.161,0.258,0.419,63,27,0.625,Grinder
Pontus Holmberg,F,37,5,8,13,18,10.25,0.07,0.135,0.216,0.351,24,18,0.625,Grinder
Arber Xhekaj,D,51,5,8,13,101,15.16,0.15,0.098,0.157,0.255,159,46,0.625,Defensive
Yegor Chinakhov,F,30,4,9,13,10,13.15,0.0,0.133,0.3,0.433,27,17,0.4444444444444444,Grinder
Pierre-Edouard Bellemare,F,73,4,9,13,34,11.16,2.16,0.055,0.123,0.178,67,48,0.4444444444444444,Grinder
Henri Jokiharju,D,60,3,10,13,30,21.01,1.53,0.05,0.167,0.217,63,58,0.3,Defensive
Sean Walker,D,70,3,10,13,36,14.49,0.57,0.043,0.143,0.186,77,104,0.3,Defensive
Joel Edmundson,D,61,2,11,13,58,19.33,3.18,0.033,0.18,0.213,112,149,0.18181818181818182,Defensive
Christopher Tanev,D,65,1,12,13,21,20.07,2.51,0.015,0.185,0.2,51,130,0.08333333333333333,Defensive
Erik Gudbranson,D,70,1,12,13,57,21.17,2.12,0.014,0.171,0.186,119,137,0.08333333333333333,Defensive
Jaret Anderson-Dolan,F,46,7,5,12,2,10.37,0.09,0.152,0.109,0.261,61,29,1.4,Grinder
