Name,Team,Age,GP,GAA,SV%,W,L,GA,SV,SOG,SO,TIME,G,A,P,PIM
Martin Brodeur,NJD,37,77,2.24,0.916,45,25,168,1836,2004,9,4499,0,3,3,6
Miikka Kiprusoff,CGY,33,73,2.31,0.92,35,28,163,1872,2035,4,4235,0,0,0,4
Henrik Lundqvist,NYR,27,73,2.38,0.921,35,27,167,1942,2109,4,4204,0,1,1,0
Jonathan Quick,LAK,23,72,2.54,0.907,39,24,180,1747,1927,4,4258,0,1,1,2
Craig Anderson,COL,28,71,2.63,0.917,38,25,186,2047,2233,7,4235,0,3,3,16
Evgeni Nabokov,SJS,34,71,2.43,0.922,44,16,170,1998,2168,3,4194,0,0,0,6
Ilya Bryzgalov,PHX,29,69,2.29,0.92,42,20,156,1805,1961,8,4084,0,1,1,4
Ryan Miller,BUF,29,69,2.22,0.929,41,18,150,1948,2098,5,4047,0,0,0,4
Roberto Luongo,VAN,30,68,2.57,0.913,40,22,167,1748,1915,4,3899,0,0,0,0
Marc-Andre Fleury,PIT,25,67,2.65,0.905,37,21,168,1604,1772,1,3798,0,1,1,10
Jim Howard,DET,25,63,2.26,0.924,37,15,141,1708,1849,3,3740,0,2,2,2
Tomas Vokoun,FLA,33,63,2.55,0.925,23,28,157,1924,2081,7,3695,0,2,2,0
Chris Mason,STL,33,61,2.53,0.913,30,22,148,1551,1699,2,3512,0,0,0,0
Niklas Bäckström,MIN,31,60,2.72,0.903,26,23,158,1474,1632,2,3489,0,1,1,4
Jonas Hiller,ANA,27,59,2.73,0.918,30,23,152,1708,1860,2,3338,0,2,2,0
Pekka Rinne,NSH,27,58,2.53,0.911,32,16,137,1404,1541,7,3246,0,0,0,2
Steve Mason,CBJ,21,58,3.05,0.901,20,26,163,1490,1653,5,3201,0,2,2,2
Brian Elliott,OTT,24,55,2.57,0.909,29,18,130,1294,1424,5,3038,0,1,1,0
Marty Turco,DAL,34,53,2.72,0.913,22,20,140,1465,1605,4,3088,0,4,4,10
Dwayne Roloson,NYI,40,50,3.0,0.907,23,18,145,1410,1555,1,2897,0,0,0,14
Antero Niittymäki,TBL,29,49,2.87,0.909,21,18,127,1261,1388,1,2657,0,1,1,0
Jeff Drouin-Deslauriers,EDM,25,48,3.26,0.901,16,28,152,1377,1529,3,2798,0,3,3,8
Cristobal Huet,CHI,34,48,2.5,0.895,26,14,114,969,1083,4,2731,0,0,0,4
Cam Ward,CAR,25,47,2.69,0.916,18,23,119,1290,1409,0,2651,0,3,3,0
Johan Hedberg,ATL,36,47,2.62,0.915,21,16,115,1240,1355,3,2632,0,1,1,6
José Théodore,WSH,33,47,2.81,0.911,30,7,121,1231,1352,1,2586,0,2,2,0
Jaroslav Halak,MTL,24,45,2.4,0.924,26,13,105,1281,1386,5,2630,0,0,0,0
Tuukka Rask,BOS,22,45,1.97,0.931,22,12,84,1137,1221,5,2562,0,3,3,2
Tim Thomas,BOS,35,43,2.56,0.915,17,18,104,1117,1221,5,2442,0,0,0,8
Jonas Gustavsson,TOR,25,42,2.87,0.902,16,15,112,1034,1146,1,2340,0,2,2,2
Ondrej Pavelec,ATL,22,42,3.29,0.906,14,18,127,1226,1353,2,2317,0,1,1,0
Mike Smith,TBL,27,42,3.09,0.9,13,18,117,1048,1165,2,2273,0,0,0,14
Carey Price,MTL,22,41,2.77,0.912,13,20,109,1135,1244,0,2358,0,1,1,8
Antti Niemi,CHI,26,39,2.25,0.912,26,7,82,854,936,7,2190,0,1,1,0
Jean-Sebastien Giguere,TOR,32,35,2.85,0.907,10,15,96,935,1031,3,2023,0,0,0,2
Mathieu Garon,CBJ,31,35,2.81,0.903,12,9,83,775,858,2,1771,0,0,0,2
Mike Leighton,PHI,28,34,2.83,0.906,17,9,85,814,899,1,1799,0,1,1,0
Pascal Leclaire,OTT,27,34,3.2,0.887,12,14,93,729,822,0,1745,0,0,0,2
Brian Boucher,PHI,32,33,2.76,0.9,9,18,80,716,796,1,1742,0,1,1,2
Vesa Toskala,CGY,32,32,3.48,0.88,9,12,93,680,773,1,1605,0,0,0,4
Dan Ellis,NSH,29,31,2.69,0.909,15,13,77,771,848,1,1715,0,1,1,4
Ray Emery,PHI,27,29,2.64,0.906,16,11,74,709,783,3,1684,0,1,1,2
Martin Biron,NYI,32,29,3.27,0.896,9,14,89,770,859,1,1634,0,1,1,2
Manny Legace,CAR,36,28,2.81,0.907,10,7,69,676,745,1,1472,0,1,1,0
Semyon Varlamov,WSH,21,26,2.55,0.91,15,4,65,653,718,2,1527,0,1,1,0
Ty Conklin,STL,33,26,2.48,0.922,10,10,60,704,764,4,1451,0,1,1,4
Josh Harding,MIN,25,25,3.05,0.905,9,12,66,626,692,1,1300,0,1,1,4
Alex Auld,NYR,28,24,2.95,0.895,9,7,64,546,610,0,1300,0,2,2,2
Chris Osgood,DET,37,23,3.02,0.888,7,9,63,498,561,1,1252,0,1,1,0
Scott Clemmensen,FLA,32,23,2.91,0.912,9,8,59,609,668,1,1215,0,0,0,0
Brent Johnson,PIT,32,23,2.76,0.906,10,6,51,490,541,0,1108,0,1,1,0
Andrew Raycroft,VAN,29,21,2.42,0.911,9,5,39,399,438,1,967,0,0,0,4
Curtis McElhinney,ANA,26,20,2.99,0.903,8,5,51,472,523,0,1023,0,0,0,0
Devan Dubnyk,EDM,23,19,3.57,0.89,4,10,64,515,579,0,1075,0,0,0,0
Nikolai Khabibulin,EDM,36,18,3.03,0.909,7,9,55,547,602,0,1089,0,0,0,4
Jason LaBarbera,PHX,29,17,2.13,0.928,8,5,33,426,459,0,928,0,0,0,0
Michal Neuvirth,WSH,21,17,2.75,0.914,9,4,40,424,464,0,872,0,0,0,0
Patrick Lalime,BUF,35,16,2.81,0.907,4,8,40,392,432,0,854,0,0,0,2
Thomas Greiss,SJS,23,16,2.68,0.912,7,4,35,364,399,0,782,0,0,0,2
Peter Budaj,COL,27,15,2.64,0.917,5,5,32,354,386,1,728,0,1,1,0
Kari Lehtonen,DAL,26,12,2.81,0.911,6,4,31,319,350,0,663,0,1,1,0
Yann Danis,NJD,28,12,2.05,0.923,3,2,16,191,207,0,467,0,0,0,0
Erik Ersberg,LAK,27,11,2.4,0.906,4,3,22,212,234,0,551,0,0,0,0
Justin Peters,CAR,23,9,2.83,0.905,6,3,23,218,241,0,488,0,0,0,0
Rick DiPietro,NYI,28,8,2.6,0.901,2,5,20,181,201,1,462,0,1,1,2
Joey MacDonald,TOR,29,6,3.2,0.892,1,4,17,140,157,0,319,0,0,0,0
Stephen Valiquette,NYR,32,6,3.74,0.852,2,3,19,109,128,1,305,0,0,0,0
Chad Johnson,NYR,23,5,2.35,0.919,1,2,11,124,135,0,281,0,1,1,0
Jonathan Bernier,LAK,21,3,1.3,0.957,3,0,4,90,94,1,185,0,1,1,0
Mike Brodeur,OTT,26,3,1.0,0.966,3,0,3,84,87,1,180,0,0,0,0
Wade Dubielewicz,MIN,30,3,2.98,0.853,1,1,5,29,34,0,101,0,0,0,0
Cory Schneider,VAN,23,2,3.81,0.915,0,1,5,54,59,0,79,0,0,0,0
Anton Khudobin,MIN,23,2,0.86,0.979,2,0,1,47,48,0,69,0,0,0,0
Alexander Salak,FLA,22,2,5.41,0.85,0,1,6,34,40,0,67,0,0,0,0
Dustin Tokarski,TBL,20,2,4.06,0.813,0,0,3,13,16,0,44,0,0,0,0
Matt Climie,DAL,26,1,5.0,0.868,0,1,5,33,38,0,60,0,0,0,0
Corey Crawford,CHI,25,1,3.04,0.914,0,1,3,32,35,0,59,0,0,0,0
Jhonas Enroth,BUF,21,1,4.12,0.892,0,1,4,33,37,0,58,0,0,0,0
Johan Backlund,PHI,28,1,3.0,0.917,0,1,2,22,24,0,40,0,0,0,0
Alexander Pechurski,PIT,19,1,1.69,0.923,0,0,1,12,13,0,36,0,0,0,0
Matt Zaba,NYR,26,1,3.56,0.875,0,0,2,14,16,0,34,0,0,0,0
John Curry,PIT,25,1,12.25,0.643,0,1,5,9,14,0,24,0,0,0,0
Jeremy Duchesne,PHI,23,1,3.59,0.75,0,0,1,3,4,0,17,0,0,0,0
