Name,Team,Age,GP,GAA,SV%,W,L,GA,SV,SOG,SO,TIME,G,A,P,PIM
Connor Hellebuyck,WPG,24,67,2.36,0.924,44,11,156,1892,2048,6,3966,0,2,2,0
Cameron Talbot,EDM,30,67,3.02,0.908,31,31,188,1848,2036,1,3730,0,1,1,8
Frederik Andersen,TOR,28,66,2.81,0.918,38,21,182,2029,2211,5,3889,0,1,1,2
Sergei Bobrovsky,CBJ,29,65,2.42,0.921,37,22,158,1835,1993,5,3912,0,3,3,0
Andrei Vasilevski,TBL,23,65,2.62,0.92,44,17,167,1908,2075,8,3825,0,2,2,14
Jonathan Quick,LAK,31,64,2.4,0.921,33,28,147,1720,1867,5,3677,0,4,4,10
Henrik Lundqvist,NYR,35,63,2.98,0.915,26,26,174,1862,2036,2,3503,0,1,1,0
Devan Dubnyk,MIN,31,60,2.52,0.918,35,16,145,1624,1769,5,3450,0,3,3,12
John Gibson,ANA,24,60,2.43,0.926,31,18,139,1733,1872,4,3428,0,1,1,16
Martin Jones,SJS,27,60,2.55,0.915,30,22,145,1554,1699,4,3416,0,0,0,2
Jacob Markström,VAN,27,60,2.71,0.912,23,26,154,1591,1745,2,3414,0,3,3,4
Jim Howard,DET,33,60,2.85,0.91,22,27,160,1610,1770,1,3368,0,1,1,10
Pekka Rinne,NSH,35,59,2.31,0.927,42,13,134,1706,1840,8,3475,0,1,1,6
Jake Allen,STL,27,59,2.75,0.906,27,25,152,1462,1614,1,3317,0,1,1,0
Craig Anderson,OTT,36,58,3.32,0.898,23,25,180,1588,1768,2,3251,0,0,0,2
Mike Smith,CGY,35,55,2.65,0.916,25,22,141,1545,1686,3,3190,0,2,2,8
Tuukka Rask,BOS,30,54,2.36,0.917,34,14,125,1388,1513,3,3173,0,2,2,4
Braden Holtby,WSH,28,54,2.99,0.907,34,16,153,1495,1648,0,3067,0,0,0,2
Jaroslav Halak,NYI,32,54,3.19,0.908,20,26,161,1583,1744,1,3024,0,0,0,4
Ben Bishop,DAL,31,53,2.49,0.917,26,17,120,1317,1437,5,2887,0,1,1,4
Robin Lehner,BUF,26,53,3.01,0.908,14,26,143,1417,1560,3,2852,0,0,0,2
Semyon Varlamov,COL,29,51,2.68,0.92,24,16,128,1466,1594,2,2861,0,0,0,2
Carey Price,MTL,30,49,3.11,0.901,16,26,148,1339,1487,1,2855,0,0,0,0
Matt Murray,PIT,23,49,2.92,0.907,27,16,133,1290,1423,1,2733,0,1,1,2
Antti Raanta,ARI,28,47,2.24,0.93,21,17,97,1291,1388,3,2599,0,0,0,0
Marc-Andre Fleury,VGK,33,46,2.25,0.927,29,13,100,1276,1376,4,2673,0,1,1,6
James Reimer,FLA,29,44,2.99,0.913,22,14,120,1253,1373,4,2411,0,1,1,4
Brian Elliott,PHI,32,43,2.67,0.909,23,11,112,1116,1228,1,2522,0,1,1,2
Scott Darling,CAR,29,43,3.18,0.888,13,21,131,1040,1171,0,2475,0,0,0,2
Cam Ward,CAR,33,43,2.73,0.906,23,14,112,1075,1187,2,2459,0,0,0,14
