Name,Team,Age,GP,GAA,SV%,W,L,GA,SV,SOG,SO,TIME,G,A,P,PIM
Michal Neuvirth,WSH,23,38,2.82,0.903,13,13,95,881,976,3,2020,0,1,1,2
Curtis Sanford,CBJ,32,36,2.6,0.911,10,18,86,885,971,1,1983,0,0,0,0
James Reimer,TOR,23,34,3.1,0.9,14,14,97,877,974,3,1879,0,0,0,0
Josh Harding,MIN,27,34,2.62,0.917,13,12,81,900,981,2,1855,0,0,0,0
Ray Emery,CHI,29,34,2.81,0.901,15,9,83,751,834,0,1774,0,1,1,2
Cory Schneider,VAN,25,33,1.96,0.937,20,8,60,885,945,3,1833,0,2,2,0
Jean-Sebastien Giguere,COL,34,32,2.28,0.919,15,11,69,781,850,2,1820,0,0,0,2
Al Montoya,NYI,26,31,3.11,0.893,9,11,89,743,832,0,1720,0,0,0,2
Scott Clemmensen,FLA,34,30,2.57,0.913,14,6,67,706,773,1,1566,0,1,1,0
Sergei Bobrovsky,PHI,23,29,3.02,0.899,14,10,78,691,769,0,1550,0,0,0,0
Johan Hedberg,NJD,38,27,2.22,0.918,17,7,59,659,718,4,1591,0,0,0,2
Jhonas Enroth,BUF,23,26,2.7,0.917,8,11,63,693,756,1,1399,0,0,0,2
Tuukka Rask,BOS,24,23,2.05,0.929,11,8,44,577,621,3,1289,0,0,0,2
Martin Biron,NYR,34,21,2.46,0.904,12,6,50,469,519,2,1220,0,3,3,0
Chris Mason,WPG,35,20,2.59,0.898,8,7,43,379,422,2,995,0,0,0,0
Thomas Greiss,SJS,25,19,2.3,0.915,9,7,40,432,472,0,1043,0,0,0,2
Jason LaBarbera,PHX,31,19,2.54,0.912,3,9,43,443,486,0,1015,0,0,0,2
Richard Bachman,DAL,24,18,2.77,0.91,8,5,43,434,477,1,933,0,1,1,0
Peter Budaj,MTL,29,17,2.55,0.913,5,7,44,464,508,0,1037,0,3,3,2
Jonathan Bernier,LAK,23,16,2.36,0.909,5,6,35,348,383,1,890,0,0,0,0
Brent Johnson,PIT,34,16,3.11,0.883,6,7,42,317,359,0,811,0,1,1,0
Anders Lindbäck,NSH,23,16,2.42,0.912,5,8,32,332,364,0,792,0,1,1,0
Ty Conklin,DET,35,15,3.28,0.884,5,6,44,334,378,1,805,0,1,1,0
Joey MacDonald,DET,31,14,2.16,0.912,8,5,29,301,330,0,806,0,0,0,0
Alex Auld,OTT,30,14,3.35,0.884,2,4,36,274,310,0,645,0,0,0,0
Ben Scrivens,TOR,25,12,3.13,0.903,4,5,35,324,359,0,672,0,0,0,4
Matt Hackett,MIN,21,12,2.38,0.922,3,6,22,260,282,0,556,0,0,0,0
Allen York,CBJ,22,11,2.3,0.92,3,2,16,183,199,0,417,0,0,0,0
Brian Boucher,CAR,34,10,3.4,0.881,1,6,31,229,260,0,546,0,0,0,0
Ben Bishop,OTT,25,10,2.48,0.91,3,3,22,221,243,0,532,0,0,0,2
Andrew Raycroft,DAL,31,10,3.51,0.898,2,8,31,272,303,0,529,0,0,0,0
Dan Ellis,ANA,31,10,2.72,0.911,1,5,19,195,214,0,419,0,1,1,0
Henrik Karlsson,CGY,28,9,3.17,0.9,1,4,24,215,239,0,454,0,0,0,0
Rick DiPietro,NYI,30,8,3.73,0.876,3,2,22,155,177,0,354,0,2,2,0
Leland Irving,CGY,23,7,3.19,0.912,1,3,21,218,239,0,394,0,0,0,0
Justin Peters,CAR,25,7,2.48,0.931,2,3,16,217,233,1,387,0,0,0,0
Jacob Markström,FLA,21,7,2.66,0.923,2,4,17,205,222,0,383,0,0,0,0
Braden Holtby,WSH,22,7,2.5,0.922,4,2,15,177,192,1,361,0,0,0,0
Kevin Poulin,NYI,21,6,3.04,0.907,2,4,15,147,162,0,296,0,1,1,0
Robin Lehner,OTT,20,5,2.01,0.935,3,2,10,144,154,1,299,0,0,0,0
Marty Turco,BOS,36,5,3.68,0.855,2,2,16,94,110,0,261,0,0,0,2
Brad Thiessen,PIT,25,5,3.72,0.858,3,1,16,97,113,0,258,0,0,0,2
Dustin Tokarski,TBL,22,5,3.45,0.879,1,3,14,102,116,0,244,0,1,1,2
Jeff Drouin-Deslauriers,ANA,27,4,2.74,0.903,3,1,11,102,113,0,241,0,0,0,0
Anders Nilsson,NYI,21,4,2.75,0.911,1,2,10,102,112,1,218,0,0,0,0
Sebastien Caron,TBL,31,3,3.12,0.877,1,1,7,50,57,0,135,0,0,0,0
Jussi Rynnäs,TOR,24,2,4.25,0.825,0,1,7,33,40,0,99,0,0,0,0
Curtis McElhinney,PHX,28,2,1.67,0.944,1,0,2,34,36,0,72,0,0,0,0
Drew MacIntyre,BUF,28,2,1.38,0.944,0,0,1,17,18,0,43,0,0,0,0
Mike Murphy,CAR,22,2,0.0,1.0,0,1,0,9,9,0,36,0,0,0,0
Anton Khudobin,BOS,25,1,1.0,0.978,1,0,1,44,45,0,60,0,0,0,0
Iiro Tarkki,ANA,26,1,4.41,0.7,1,0,3,7,10,0,41,0,0,0,0
Yann Danis,EDM,30,1,3.7,0.833,0,0,2,10,12,0,32,0,0,0,0
Peter Mannino,WPG,27,1,0.0,1.0,0,0,0,4,4,0,20,0,0,0,0
Brian Foster,FLA,24,1,0.0,1.0,0,0,0,1,1,0,5,0,0,0,0
Shawn Hunwick,CBJ,24,1,0.0,,0,0,0,0,0,0,3,0,0,0,0
