Name,Team,Age,GP,GAA,SV%,W,L,GA,SV,SOG,SO,TIME,G,A,P,PIM
Jonas Hiller,ANA,29,73,2.57,0.91,29,30,182,1839,2021,4,4253,0,1,1,0
Pekka Rinne,NSH,29,73,2.39,0.923,43,18,166,1987,2153,5,4169,0,5,5,0
Miikka Kiprusoff,CGY,35,70,2.35,0.921,35,22,162,1878,2040,4,4128,0,0,0,0
Jonathan Quick,LAK,25,69,1.95,0.929,35,21,133,1730,1863,10,4099,0,2,2,6
Cam Ward,CAR,27,68,2.74,0.915,30,23,182,1961,2143,5,3988,1,0,1,4
Antti Niemi,SJS,28,68,2.42,0.915,34,22,159,1706,1865,6,3936,0,0,0,2
Ondrej Pavelec,WPG,24,68,2.91,0.906,29,28,191,1845,2036,4,3932,0,2,2,0
Mike Smith,PHX,29,67,2.21,0.93,38,18,144,1922,2066,8,3903,0,2,2,16
Marc-Andre Fleury,PIT,27,67,2.36,0.914,42,17,153,1615,1768,3,3896,0,2,2,4
Carey Price,MTL,24,65,2.43,0.916,26,28,160,1754,1914,4,3944,0,2,2,6
Craig Anderson,OTT,30,63,2.83,0.914,33,22,165,1752,1917,3,3492,0,4,4,4
Henrik Lundqvist,NYR,29,62,1.97,0.93,39,18,123,1630,1753,8,3754,0,2,2,4
Ryan Miller,BUF,31,61,2.54,0.916,31,21,150,1638,1788,6,3536,0,0,0,0
Kari Lehtonen,DAL,28,59,2.33,0.922,32,22,136,1603,1739,4,3497,0,3,3,0
Ilya Bryzgalov,PHI,31,59,2.48,0.909,33,16,141,1413,1554,6,3415,0,2,2,4
Martin Brodeur,NJD,39,59,2.41,0.908,31,21,136,1336,1472,3,3392,0,4,4,2
Tim Thomas,BOS,37,59,2.36,0.92,35,19,132,1527,1659,5,3352,0,1,1,0
Jim Howard,DET,27,57,2.12,0.921,35,17,119,1377,1496,6,3360,0,1,1,6
Corey Crawford,CHI,27,57,2.72,0.903,30,17,146,1361,1507,0,3218,0,0,0,0
Roberto Luongo,VAN,32,55,2.41,0.92,31,14,127,1450,1577,5,3162,0,1,1,4
Semyon Varlamov,COL,23,53,2.59,0.913,26,24,136,1428,1564,4,3151,0,1,1,2
José Théodore,FLA,35,53,2.46,0.917,22,16,125,1377,1502,3,3049,0,0,0,2
Tomas Vokoun,WSH,35,48,2.51,0.917,25,17,108,1191,1299,4,2583,0,2,2,4
Mathieu Garon,TBL,33,48,2.85,0.901,23,16,118,1073,1191,1,2484,0,2,2,0
Devan Dubnyk,EDM,25,47,2.67,0.915,20,20,118,1262,1380,2,2653,0,1,1,0
Jaroslav Halak,STL,26,46,1.97,0.926,26,12,90,1121,1211,6,2747,0,0,0,0
Niklas Bäckström,MIN,33,46,2.43,0.919,19,18,105,1194,1299,4,2590,0,2,2,2
Steve Mason,CBJ,23,46,3.39,0.895,16,26,143,1212,1355,1,2534,0,2,2,2
Evgeni Nabokov,NYI,36,42,2.55,0.914,19,18,101,1071,1172,2,2378,0,0,0,6
Jonas Gustavsson,TOR,27,42,2.92,0.902,17,17,112,1035,1147,4,2301,0,1,1,4
Nikolai Khabibulin,EDM,38,40,2.65,0.91,12,20,100,1014,1114,2,2261,0,0,0,0
Dwayne Roloson,TBL,42,40,3.66,0.886,13,16,128,998,1126,1,2099,0,0,0,6
Brian Elliott,STL,26,38,1.56,0.94,23,10,58,914,972,9,2235,0,0,0,0
