Name,Team,Age,GP,GAA,SV%,W,L,GA,SV,SOG,SO,TIME,G,A,P,PIM
Braden Holtby,WSH,25,73,2.22,0.923,41,20,157,1887,2044,9,4247,0,2,2,2
Jonathan Quick,LAK,28,72,2.24,0.918,36,22,156,1740,1896,6,4184,0,1,1,18
Tuukka Rask,BOS,27,70,2.3,0.922,34,21,156,1855,2011,3,4063,0,0,0,8
Cory Schneider,NJD,28,69,2.26,0.925,26,31,148,1834,1982,5,3924,0,2,2,0
Carey Price,MTL,27,66,1.96,0.933,44,16,130,1823,1953,9,3977,0,1,1,4
Kari Lehtonen,DAL,31,65,2.94,0.904,34,17,181,1694,1875,5,3698,0,3,3,2
Pekka Rinne,NSH,32,64,2.18,0.923,41,17,140,1667,1807,4,3851,0,1,1,8
Marc-Andre Fleury,PIT,30,64,2.32,0.92,34,20,146,1685,1831,10,3776,0,1,1,6
Mike Smith,ARI,32,62,3.16,0.904,14,42,187,1768,1955,0,3556,0,1,1,10
Ben Bishop,TBL,28,62,2.32,0.916,40,13,136,1484,1620,4,3519,0,4,4,4
Antti Niemi,SJS,31,61,2.59,0.914,31,23,155,1656,1811,5,3588,0,3,3,0
Roberto Luongo,FLA,35,61,2.35,0.921,28,19,138,1605,1743,2,3528,0,0,0,0
Jaroslav Halak,NYI,29,59,2.43,0.914,38,17,144,1529,1673,6,3550,0,1,1,2
Devan Dubnyk,MIN,28,58,2.07,0.929,36,14,115,1510,1625,6,3328,0,2,2,2
Jonathan Bernier,TOR,26,58,2.87,0.912,21,28,152,1583,1735,2,3177,0,1,1,0
Corey Crawford,CHI,30,57,2.27,0.924,32,20,126,1535,1661,2,3333,0,1,1,8
Semyon Varlamov,COL,26,57,2.56,0.921,28,20,141,1650,1791,5,3307,0,0,0,4
Ben Scrivens,EDM,28,57,3.16,0.89,15,26,170,1372,1542,1,3228,0,1,1,4
Frederik Andersen,ANA,25,54,2.38,0.914,35,12,123,1313,1436,3,3106,0,3,3,4
Jim Howard,DET,30,53,2.44,0.91,23,13,121,1229,1350,2,2971,0,1,1,2
Jonas Hiller,CGY,32,52,2.36,0.918,26,19,113,1263,1376,1,2871,0,0,0,0
Cam Ward,CAR,30,51,2.4,0.91,22,24,121,1230,1351,1,3026,0,0,0,4
Sergei Bobrovsky,CBJ,26,51,2.68,0.918,30,17,134,1498,1632,2,2994,0,2,2,4
Steve Mason,PHI,26,51,2.25,0.928,18,18,108,1382,1490,3,2885,0,3,3,2
