Name,Team,Age,GP,GAA,SV%,W,L,GA,SV,SOG,SO,TIME,G,A,P,PIM
Ondrej Pavelec,WPG,27,50,2.28,0.92,22,16,108,1245,1353,5,2838,0,0,0,2
Jhonas Enroth,DAL,26,50,3.07,0.904,18,26,145,1359,1504,2,2834,0,0,0,0
Henrik Lundqvist,NYR,32,46,2.25,0.923,30,13,103,1226,1329,5,2743,0,1,1,0
Brian Elliott,STL,29,46,2.26,0.917,26,14,96,1054,1150,5,2546,0,3,3,0
Ryan Miller,VAN,34,45,2.53,0.911,29,15,107,1091,1198,6,2542,0,0,0,0
Eddie Läck,VAN,26,41,2.45,0.921,18,13,95,1106,1201,2,2324,0,0,0,2
Michael Hutchinson,WPG,24,38,2.39,0.914,21,10,85,901,986,2,2138,0,0,0,0
Jake Allen,STL,24,37,2.28,0.913,22,7,79,830,909,4,2077,0,2,2,2
Cameron Talbot,NYR,27,36,2.21,0.926,21,9,77,961,1038,5,2095,0,0,0,0
Craig Anderson,OTT,33,35,2.49,0.923,14,13,87,1047,1134,3,2093,0,0,0,4
James Reimer,TOR,26,35,3.16,0.907,9,16,93,908,1001,0,1767,0,0,0,2
Anton Khudobin,CAR,28,34,2.72,0.901,8,17,87,787,874,1,1920,0,0,0,0
Karri Rämö,CGY,28,34,2.6,0.912,15,9,75,777,852,2,1732,0,0,0,0
Michal Neuvirth,NYI,26,32,2.98,0.914,7,20,92,975,1067,0,1850,0,0,0,0
Curtis McElhinney,CBJ,31,32,2.88,0.914,12,14,82,867,949,0,1710,0,0,0,0
Ray Emery,PHI,32,31,3.06,0.895,10,11,80,678,758,0,1570,0,0,0,4
Darcy Kuemper,MIN,24,31,2.6,0.905,14,12,68,650,718,3,1569,0,0,0,0
Petr Mrazek,DET,22,29,2.38,0.918,16,9,63,705,768,3,1585,0,0,0,0
Anders Lindbäck,BUF,26,26,3.11,0.909,6,16,73,725,798,0,1408,0,1,1,4
Viktor Fasth,EDM,32,26,3.41,0.888,6,15,76,605,681,0,1336,0,0,0,0
Robin Lehner,OTT,23,25,3.02,0.905,9,12,74,705,779,0,1471,0,1,1,0
Andrew Hammond,OTT,26,24,1.79,0.941,20,1,42,665,707,3,1411,0,1,1,0
John Gibson,ANA,21,23,2.6,0.914,13,8,58,616,674,1,1340,0,0,0,0
Alex Stalock,SJS,27,22,2.62,0.902,8,9,54,499,553,2,1237,0,0,0,2
Thomas Greiss,PIT,28,20,2.59,0.908,9,6,50,496,546,0,1159,0,0,0,0
Al Montoya,FLA,29,20,3.01,0.892,6,7,49,404,453,0,977,0,0,0,2
Chad Johnson,NYI,28,19,3.08,0.889,8,8,54,434,488,0,1053,0,0,0,0
Niklas Bäckström,MIN,36,19,3.05,0.887,5,7,51,401,452,0,1005,0,0,0,2
Keith Kinkaid,NJD,25,19,2.59,0.915,6,5,40,429,469,0,925,0,0,0,0
Reto Berra,COL,27,19,2.65,0.918,5,4,33,370,403,1,748,0,0,0,0
Carter Hutton,NSH,29,18,2.61,0.902,6,7,44,406,450,1,1010,0,0,0,0
Niklas Svedberg,BOS,25,18,2.33,0.918,7,5,35,390,425,2,900,0,0,0,0
Dustin Tokarski,MTL,25,17,2.75,0.91,6,6,46,463,509,0,1005,0,1,1,0
Calvin Pickard,COL,22,16,2.35,0.932,6,7,35,476,511,0,895,0,0,0,0
Andrei Vasilevski,TBL,20,16,2.36,0.918,7,5,34,381,415,1,864,0,0,0,0
Martin Jones,LAK,24,15,2.24,0.906,4,5,29,278,307,3,775,0,1,1,0
Scott Darling,CHI,26,14,1.95,0.936,9,4,27,392,419,1,833,0,0,0,0
Antti Raanta,CHI,25,14,1.89,0.936,7,4,25,364,389,2,792,0,0,0,0
Justin Peters,WSH,28,12,3.25,0.881,3,6,35,259,294,0,647,0,0,0,0
Evgeni Nabokov,TBL,39,11,3.14,0.882,3,6,29,216,245,0,553,0,1,1,2
Rob Zepp,PHI,33,10,2.89,0.888,5,2,25,198,223,0,519,0,0,0,0
Dan Ellis,FLA,34,8,2.34,0.914,4,3,19,202,221,1,486,0,0,0,0
Ilya Bryzgalov,ANA,34,8,4.19,0.847,1,4,23,127,150,0,329,0,2,2,0
Martin Brodeur,STL,42,7,2.87,0.899,3,3,17,152,169,1,356,0,0,0,0
Jonas Gustavsson,DET,30,7,2.56,0.911,3,3,15,153,168,1,351,0,0,0,2
Richard Bachman,EDM,27,7,2.84,0.911,3,2,15,153,168,1,317,0,0,0,0
Louis Domingue,ARI,22,7,2.73,0.911,1,2,14,144,158,0,308,0,0,0,0
Joni Ortio,CGY,23,6,2.52,0.909,4,2,14,139,153,1,333,0,0,0,0
Anton Forsberg,CBJ,22,5,4.69,0.866,0,4,20,129,149,0,256,0,0,0,0
Matt Hackett,BUF,24,5,4.32,0.884,0,4,18,137,155,0,250,0,0,0,0
Jason LaBarbera,ANA,34,5,2.6,0.909,2,0,9,90,99,0,207,0,0,0,0
Scott Clemmensen,NJD,37,3,4.73,0.852,0,0,8,46,54,0,102,0,0,0,0
Jacob Markström,VAN,24,3,3.09,0.879,1,1,4,29,33,0,78,0,0,0,0
Mackenzie Skapski,NYR,20,2,0.5,0.978,2,0,1,44,45,1,119,0,0,0,0
Troy Grosenick,SJS,25,2,1.52,0.948,1,1,3,55,58,1,118,0,0,0,0
Marek Mazanec,NSH,23,2,2.27,0.915,0,1,4,43,47,0,106,0,0,0,0
Jussi Rynnäs,DAL,27,2,4.54,0.841,0,1,7,37,44,0,92,0,0,0,0
John Curry,MIN,30,2,4.18,0.8,0,0,5,20,25,0,72,0,0,0,0
Thomas McCollum,DET,25,2,0.91,0.96,1,0,1,24,25,0,66,0,0,0,0
Kevin Poulin,NYI,24,1,2.77,0.885,0,0,3,23,26,0,65,0,0,0,0
Philipp Grubauer,WSH,23,1,1.85,0.92,1,0,2,23,25,0,65,0,0,0,0
Mike McKenna,ARI,31,1,5.0,0.853,0,1,5,29,34,0,60,0,0,0,0
Andrei Makarov,BUF,21,1,3.0,0.917,0,1,3,33,36,0,60,0,0,0,0
Laurent Brossoit,EDM,21,1,2.01,0.961,0,1,2,49,51,0,60,0,0,0,0
Jeff Zatkoff,PIT,27,1,1.63,0.941,0,1,1,16,17,0,37,0,0,0,0
Malcolm Subban,BOS,21,1,5.76,0.5,0,1,3,3,6,0,31,0,0,0,0
Chris Driedger,OTT,20,1,0.0,1.0,0,0,0,10,10,0,23,0,0,0,0
Tyler Bunz,EDM,22,1,9.0,0.75,0,0,3,9,12,0,20,0,0,0,0
