Name,Team,Age,GP,GAA,SV%,W,L,GA,SV,SOG,SO,TIME,G,A,P,PIM
Ondrej Pavelec,WPG,25,44,2.8,0.905,21,20,119,1132,1251,0,2553,0,0,0,2
Antti Niemi,SJS,29,43,2.16,0.924,24,12,93,1127,1220,4,2581,0,1,1,2
Henrik Lundqvist,NYR,30,43,2.05,0.926,24,16,88,1102,1190,2,2575,0,1,1,0
Pekka Rinne,NSH,30,43,2.43,0.91,15,16,99,1002,1101,5,2444,0,1,1,8
Jim Howard,DET,28,42,2.13,0.923,21,13,87,1042,1129,5,2446,0,1,1,0
Niklas Bäckström,MIN,34,42,2.48,0.909,24,15,98,974,1072,2,2368,0,0,0,2
Evgeni Nabokov,NYI,37,41,2.5,0.91,23,11,103,1036,1139,3,2475,0,4,4,6
Ryan Miller,BUF,32,40,2.81,0.915,17,17,108,1162,1270,0,2302,0,0,0,2
Ilya Bryzgalov,PHI,32,40,2.79,0.9,19,17,107,959,1066,1,2298,0,3,3,0
Carey Price,MTL,25,39,2.59,0.905,21,13,97,921,1018,3,2249,0,0,0,0
Sergei Bobrovsky,CBJ,24,38,2.0,0.932,21,11,74,1010,1084,4,2219,0,0,0,0
Devan Dubnyk,EDM,26,38,2.57,0.921,14,16,90,1042,1132,2,2101,0,0,0,0
Jonathan Quick,LAK,26,37,2.45,0.902,18,13,87,802,889,1,2134,0,0,0,2
Tuukka Rask,BOS,25,36,2.0,0.929,19,10,70,910,980,5,2104,0,1,1,0
Braden Holtby,WSH,23,36,2.58,0.92,23,12,90,1033,1123,4,2089,0,2,2,2
Kari Lehtonen,DAL,29,36,2.66,0.916,15,14,88,962,1050,1,1986,0,2,2,0
Semyon Varlamov,COL,24,35,3.02,0.903,11,21,98,909,1007,3,1950,0,1,1,0
Mike Smith,PHX,30,34,2.58,0.91,15,12,84,854,938,5,1956,0,0,0,0
Marc-Andre Fleury,PIT,28,33,2.39,0.916,23,8,74,807,881,1,1858,0,2,2,2
James Reimer,TOR,24,33,2.46,0.924,19,8,76,919,995,4,1856,0,1,1,0
Corey Crawford,CHI,28,30,1.94,0.926,19,5,57,712,769,3,1761,0,0,0,4
Cory Schneider,VAN,26,30,2.11,0.927,17,9,61,774,835,5,1733,0,1,1,0
Martin Brodeur,NJD,40,29,2.22,0.901,13,9,65,589,654,2,1757,1,2,3,0
Jonas Hiller,ANA,30,26,2.36,0.913,15,6,59,616,675,1,1498,0,1,1,2
Viktor Fasth,ANA,30,25,2.18,0.921,15,6,52,609,661,4,1428,0,0,0,0
Craig Anderson,OTT,31,24,1.69,0.941,12,9,40,637,677,3,1421,0,0,0,0
Miikka Kiprusoff,CGY,36,24,3.44,0.882,8,14,77,573,650,0,1344,0,1,1,0
Anders Lindbäck,TBL,24,24,2.9,0.902,10,10,63,579,642,0,1304,0,1,1,0
Brian Elliott,STL,27,24,2.28,0.907,14,8,49,477,526,3,1292,0,0,0,0
Jacob Markström,FLA,22,23,3.22,0.901,8,14,68,617,685,0,1266,0,0,0,0
Ben Bishop,TBL,26,22,2.67,0.92,11,9,56,645,701,2,1260,0,0,0,2
Joey MacDonald,CGY,32,21,2.87,0.902,8,9,55,507,562,0,1148,0,0,0,0
Ray Emery,CHI,30,21,1.94,0.922,17,1,36,424,460,3,1116,0,0,0,0
Roberto Luongo,VAN,33,20,2.56,0.907,9,6,51,500,551,2,1197,0,0,0,0
Steve Mason,PHI,24,20,2.59,0.916,7,8,47,514,561,0,1090,0,1,1,0
Tomas Vokoun,PIT,36,20,2.45,0.919,13,4,42,477,519,3,1029,0,2,2,2
Ben Scrivens,TOR,26,20,2.69,0.915,7,9,46,496,542,2,1025,0,0,0,6
Johan Hedberg,NJD,39,19,2.76,0.883,6,10,51,384,435,1,1108,0,1,1,4
Dan Ellis,CAR,32,19,3.13,0.906,6,8,52,503,555,1,997,0,2,2,0
Justin Peters,CAR,26,19,3.46,0.891,4,11,55,451,506,1,954,0,0,0,0
Scott Clemmensen,FLA,35,19,3.67,0.874,3,7,53,368,421,0,866,0,0,0,0
Mathieu Garon,TBL,34,18,2.9,0.897,5,9,44,383,427,0,910,0,0,0,0
Jean-Sebastien Giguere,COL,35,18,2.84,0.908,5,4,43,426,469,0,908,0,0,0,4
Cam Ward,CAR,28,17,2.84,0.908,9,6,44,433,477,0,929,0,0,0,0
Jaroslav Halak,STL,27,16,2.14,0.899,6,5,29,257,286,3,813,0,1,1,0
Jake Allen,STL,22,15,2.46,0.905,9,4,33,313,346,1,804,0,0,0,0
José Théodore,FLA,36,15,3.29,0.893,4,6,42,349,391,0,766,0,0,0,2
Jason LaBarbera,PHX,32,15,2.64,0.923,4,6,32,386,418,0,726,0,0,0,0
Anton Khudobin,BOS,26,14,2.32,0.92,9,4,31,357,388,1,803,0,0,0,4
Jonathan Bernier,LAK,24,14,1.87,0.922,9,3,24,282,306,1,768,0,1,1,0
Michal Neuvirth,WSH,24,13,2.74,0.91,4,5,33,334,367,0,723,0,0,0,0
Peter Budaj,MTL,30,13,2.28,0.908,8,1,25,248,273,1,656,0,0,0,0
Richard Bachman,DAL,25,13,3.25,0.885,6,5,33,255,288,0,609,0,0,0,0
Robin Lehner,OTT,21,12,2.2,0.936,5,3,27,397,424,0,735,0,0,0,0
Nikolai Khabibulin,EDM,39,12,2.55,0.923,4,6,29,347,376,1,684,0,0,0,0
Jhonas Enroth,BUF,24,12,2.6,0.919,4,4,27,305,332,1,623,0,0,0,0
Chris Mason,NSH,36,11,3.73,0.873,1,7,29,200,229,0,467,0,0,0,0
Al Montoya,WPG,27,7,2.9,0.899,3,1,17,151,168,1,351,0,0,0,0
Jonas Gustavsson,DET,28,7,2.92,0.879,2,2,17,123,140,0,349,0,1,1,2
Martin Biron,NYR,35,6,2.32,0.917,2,2,13,143,156,0,336,0,0,0,0
Thomas Greiss,SJS,26,6,2.53,0.915,1,4,13,140,153,1,308,0,0,0,0
Darcy Kuemper,MIN,22,6,2.08,0.916,1,2,10,109,119,0,288,0,0,0,0
Leland Irving,CGY,24,6,3.33,0.883,2,1,15,113,128,0,270,0,1,1,0
Cristopher Nihlstorp,DAL,28,5,3.09,0.897,1,3,15,131,146,0,291,0,0,0,0
Kevin Poulin,NYI,22,5,3.03,0.893,1,3,13,109,122,0,258,0,0,0,0
Josh Harding,MIN,28,5,3.24,0.863,1,1,10,63,73,1,185,0,0,0,0
Chad Johnson,PHX,26,4,1.22,0.954,2,0,5,103,108,1,247,0,0,0,0
