Name,Team,Age,GP,GAA,SV%,W,L,GA,SV,SOG,SO,TIME,G,A,P,PIM
Brian Boucher,PHI,35,4,2.5,0.891,0,2,6,49,55,0,144,0,0,0,0
Rick DiPietro,NYI,31,3,4.1,0.855,0,3,12,71,83,0,176,0,0,0,0
Cedrick Desjardins,TBL,27,3,3.0,0.89,0,3,8,65,73,0,160,0,0,0,0
Yann Danis,EDM,31,3,3.81,0.881,1,0,7,52,59,0,110,0,0,0,0
Daniel Taylor,CGY,26,2,3.0,0.912,1,1,6,62,68,0,120,0,0,0,0
Petr Mrazek,DET,20,2,2.01,0.922,1,1,4,47,51,0,119,0,0,0,0
Philipp Grubauer,WSH,21,2,3.57,0.915,0,1,5,54,59,0,84,0,0,0,0
Alex Stalock,SJS,25,2,2.87,0.846,0,0,2,11,13,0,42,0,0,0,0
Mike Leighton,PHI,31,1,5.07,0.808,0,1,5,21,26,0,59,0,0,0,0
Matt Hackett,MIN,22,1,5.07,0.849,0,1,5,28,33,0,59,0,0,0,0
Carter Hutton,CHI,27,1,3.06,0.893,0,1,3,25,28,0,59,0,0,0,0
Sami Aittokallio,COL,20,1,2.43,0.92,0,0,2,23,25,0,49,0,0,0,0
Keith Kinkaid,NJD,23,1,2.33,0.923,0,0,1,12,13,0,26,0,0,0,0
Jeff Frazee,NJD,25,1,0.0,1.0,0,0,0,3,3,0,19,0,0,0,0
Jussi Rynnäs,TOR,25,1,0.0,1.0,0,0,0,6,6,0,10,0,0,0,0
