Name,Team,Age,GP,GAA,SV%,W,L,GA,SV,SOG,SO,TIME,G,A,P,PIM
Devan Dubnyk,MIN,32,67,2.54,0.913,31,28,163,1714,1877,2,3855,0,2,2,2
Carey Price,MTL,31,66,2.49,0.918,35,24,161,1791,1952,4,3880,0,1,1,2
Connor Hellebuyck,WPG,25,63,2.9,0.913,34,23,179,1872,2051,2,3704,0,3,3,4
Martin Jones,SJS,28,62,2.94,0.896,36,19,176,1523,1699,3,3597,0,1,1,2
Sergei Bobrovsky,CBJ,30,62,2.58,0.913,37,24,153,1603,1756,9,3557,0,0,0,2
Marc-Andre Fleury,VGK,34,61,2.51,0.913,35,21,152,1593,1745,8,3635,0,2,2,4
Jacob Markström,VAN,28,60,2.77,0.912,28,23,166,1730,1896,1,3599,0,3,3,2
Frederik Andersen,TOR,29,60,2.77,0.917,36,16,162,1796,1958,1,3510,0,1,1,2
Braden Holtby,WSH,29,59,2.82,0.911,32,19,160,1635,1795,3,3407,0,2,2,2
John Gibson,ANA,25,58,2.84,0.917,26,22,153,1685,1838,2,3233,0,0,0,2
Pekka Rinne,NSH,36,56,2.42,0.918,30,19,130,1451,1581,4,3220,0,0,0,4
Darcy Kuemper,ARI,28,55,2.33,0.925,27,20,126,1551,1677,5,3251,0,2,2,14
Jim Howard,DET,34,55,3.07,0.909,23,22,156,1553,1709,0,3053,0,1,1,2
Mikko Koskinen,EDM,30,55,2.93,0.906,25,21,146,1405,1551,4,2992,0,2,2,2
Andrei Vasilevski,TBL,24,53,2.4,0.925,39,10,128,1585,1713,6,3204,0,3,3,6
Henrik Lundqvist,NYR,36,52,3.07,0.907,18,23,158,1541,1699,0,3089,0,3,3,0
Matt Murray,PIT,24,50,2.69,0.919,29,14,129,1465,1594,4,2880,0,0,0,4
Carter Hutton,BUF,33,50,3.0,0.908,18,25,142,1399,1541,0,2840,0,1,1,2
Craig Anderson,OTT,37,50,3.51,0.903,17,27,163,1513,1676,2,2785,0,2,2,0
Semyon Varlamov,COL,30,49,2.87,0.909,20,19,136,1360,1496,2,2839,0,0,0,2
Jonathan Quick,LAK,32,46,3.38,0.888,16,23,149,1180,1329,2,2648,0,2,2,6
Ben Bishop,DAL,32,46,1.98,0.934,27,15,87,1236,1323,7,2637,0,2,2,2
Tuukka Rask,BOS,31,46,2.48,0.912,27,13,109,1136,1245,4,2635,0,2,2,4
Robin Lehner,NYI,27,46,2.13,0.93,25,13,93,1230,1323,6,2616,0,1,1,0
Jake Allen,STL,28,46,2.83,0.905,19,17,121,1156,1277,3,2568,0,0,0,0
David Rittich,CGY,26,45,2.61,0.911,27,9,109,1119,1228,1,2503,0,0,0,4
Roberto Luongo,FLA,39,43,3.12,0.899,18,16,122,1083,1205,1,2347,0,1,1,0
Thomas Greiss,NYI,32,43,2.28,0.927,23,14,87,1098,1185,5,2294,0,1,1,4
Mike Smith,CGY,36,42,2.73,0.898,23,16,109,960,1069,2,2400,0,3,3,2
Keith Kinkaid,NJD,29,41,3.36,0.891,15,18,129,1059,1188,3,2302,0,0,0,0
Anton Khudobin,DAL,32,41,2.57,0.923,16,17,95,1137,1232,2,2220,0,0,0,2
Petr Mrazek,CAR,26,40,2.39,0.914,23,14,95,1009,1104,4,2387,0,1,1,6
Jaroslav Halak,BOS,33,40,2.34,0.922,22,11,90,1068,1158,5,2308,0,4,4,0
Corey Crawford,CHI,34,39,2.93,0.908,14,18,108,1068,1176,2,2213,0,4,4,0
Linus Ullmark,BUF,25,37,3.11,0.905,15,14,109,1037,1146,2,2102,0,1,1,0
Philipp Grubauer,COL,27,37,2.64,0.917,18,9,89,982,1071,3,2021,0,0,0,0
Anders Nilsson,OTT,28,36,2.97,0.908,14,19,101,997,1098,2,2040,0,1,1,0
Casey DeSmith,PIT,27,36,2.75,0.916,15,11,89,971,1060,3,1944,0,0,0,2
James Reimer,FLA,30,36,3.09,0.9,13,12,93,836,929,0,1805,0,0,0,0
Cameron Talbot,PHI,31,35,3.4,0.892,11,17,108,889,997,1,1906,0,1,1,0
Jonathan Bernier,DET,30,35,3.16,0.904,9,18,98,927,1025,1,1860,0,0,0,0
Curtis McElhinney,CAR,35,33,2.58,0.912,20,11,85,883,968,2,1978,0,0,0,0
Cam Ward,CHI,34,33,3.67,0.897,16,12,115,998,1113,0,1882,0,1,1,4
Alexandar Georgiev,NYR,22,33,2.91,0.914,14,13,91,966,1057,2,1874,0,2,2,2
Jordan Binnington,STL,25,32,1.89,0.927,24,5,59,748,807,5,1876,0,0,0,0
Carter Hart,PHI,20,31,2.83,0.917,16,13,81,895,976,0,1717,0,0,0,0
Juuse Saros,NSH,23,31,2.62,0.915,17,10,74,796,870,3,1696,0,0,0,0
