Name,Team,Age,GP,GAA,SV%,W,L,GA,SV,SOG,SO,TIME,G,A,P,PIM
Jack Campbell,LAK,26,31,2.3,0.928,10,14,61,784,845,2,1593,0,1,1,0
Pheonix Copley,WSH,26,27,2.9,0.905,16,7,74,702,776,1,1529,0,1,1,0
Joonas Korpisalo,CBJ,24,27,2.96,0.897,10,7,67,584,651,0,1361,0,0,0,0
Louis Domingue,TBL,26,26,2.88,0.908,21,5,75,737,812,0,1561,0,1,1,4
Brian Elliott,PHI,33,26,2.96,0.907,11,11,69,672,741,1,1397,0,1,1,2
Cory Schneider,NJD,32,26,3.06,0.903,6,13,70,648,718,1,1372,0,0,0,0
Aaron Dell,SJS,29,25,3.17,0.886,10,8,70,543,613,2,1323,0,0,0,0
Mackenzie Blackwood,NJD,22,23,2.61,0.918,10,10,55,614,669,2,1264,0,0,0,0
Malcolm Subban,VGK,25,21,2.94,0.902,8,10,60,552,612,1,1227,0,0,0,4
Laurent Brossoit,WPG,25,21,2.52,0.925,13,6,49,603,652,1,1165,0,0,0,0
Alex Stalock,MIN,31,21,2.99,0.899,6,8,53,472,525,0,1065,0,2,2,4
Ryan Miller,ANA,38,20,2.76,0.912,8,7,51,527,578,1,1109,0,0,0,0
Garret Sparks,TOR,25,20,3.15,0.902,8,9,58,534,592,1,1105,0,0,0,0
Chad Johnson,ANA,32,19,3.63,0.879,2,11,49,357,406,1,811,0,0,0,0
Anthony Stolarz,EDM,24,18,3.45,0.901,4,5,50,453,503,1,869,0,0,0,0
Antti Niemi,MTL,35,17,3.78,0.887,8,6,61,478,539,0,969,0,1,1,0
Calvin Pickard,ARI,26,17,3.86,0.875,4,6,48,336,384,1,747,0,0,0,2
Collin Delia,CHI,24,16,3.61,0.908,6,4,50,495,545,0,831,0,0,0,0
Adin Hill,ARI,22,13,2.76,0.901,7,5,32,290,322,1,696,0,0,0,0
Antti Raanta,ARI,29,12,2.88,0.906,5,6,33,318,351,0,687,0,1,1,0
Cal Petersen,LAK,24,11,2.61,0.924,5,4,27,328,355,1,622,0,0,0,0
Samuel Montembeault,FLA,22,11,3.04,0.894,4,3,30,252,282,0,591,0,1,1,0
Mike McKenna,PHI,35,11,3.99,0.892,1,5,34,282,316,0,511,0,0,0,0
Thatcher Demko,VAN,23,9,2.81,0.913,4,3,25,263,288,0,534,0,1,1,0
Michael Hutchinson,TOR,28,9,3.27,0.887,3,4,27,212,239,1,496,0,0,0,0
Scott Darling,CAR,30,8,3.34,0.884,2,4,27,206,233,0,486,0,0,0,0
Michal Neuvirth,PHI,30,7,4.27,0.859,1,4,26,158,184,0,366,0,0,0,0
Kevin Boyle,ANA,26,5,2.17,0.928,1,3,10,129,139,1,277,0,0,0,0
Marcus Högberg,OTT,24,4,4.09,0.884,0,2,14,107,121,0,206,0,0,0,0
Eddie Pasquale,TBL,28,3,3.96,0.882,2,1,12,90,102,0,182,0,0,0,0
Peter Budaj,LAK,36,3,5.02,0.818,0,1,6,27,33,0,72,0,0,0,0
Tristan Jarry,PIT,23,2,3.5,0.887,0,1,7,55,62,0,120,0,0,0,0
Mike Condon,OTT,28,2,6.38,0.8,0,2,8,32,40,0,75,0,0,0,0
Alex Lyon,PHI,26,2,5.08,0.807,0,1,6,25,31,0,71,0,0,0,0
Pavel Francouz,COL,28,2,1.96,0.943,0,2,2,33,35,0,61,0,0,0,0
Landon Bow,DAL,23,2,1.03,0.947,0,0,1,18,19,0,58,0,0,0,0
Christopher Gibson,NYI,26,2,1.5,0.941,0,0,1,16,17,0,40,0,0,0,0
Charlie Lindgren,MTL,25,1,4.62,0.898,1,0,5,44,49,0,65,0,0,0,0
Richard Bachman,VAN,31,1,6.0,0.793,0,1,6,23,29,0,60,0,0,0,0
Eric Comrie,WPG,23,1,5.01,0.821,0,1,5,23,28,0,60,0,0,0,0
Maxime Lagace,VGK,25,1,4.03,0.871,0,1,4,27,31,0,60,0,0,0,0
Alexander Nedeljkovic,CAR,22,1,2.0,0.923,1,0,2,24,26,0,60,0,0,0,0
Michael DiPietro,VAN,19,1,7.0,0.708,0,1,7,17,24,0,60,0,0,0,0
Joey Daccord,OTT,22,1,5.0,0.875,0,1,5,35,40,0,60,0,0,0,0
Kaden Fulcher,DET,20,1,4.41,0.818,0,0,2,9,11,0,27,0,0,0,0
Hunter Miska,ARI,23,1,3.29,0.889,0,0,1,8,9,0,18,0,0,0,0
