Name,Team,Age,GP,GAA,SV%,W,L,GA,SV,SOG,SO,TIME,G,A,P,PIM
Ben Scrivens,MTL,29,15,3.07,0.906,5,8,42,405,447,0,822,0,0,0,0
Jeff Zatkoff,PIT,28,14,2.79,0.917,4,7,34,374,408,0,732,0,0,0,0
Reto Berra,COL,28,14,2.41,0.923,5,8,29,345,374,2,721,0,1,1,2
Matt Murray,PIT,21,13,2.0,0.93,9,2,25,330,355,1,749,0,0,0,0
Alex Stalock,SJS,28,13,2.94,0.884,3,5,33,252,285,0,674,0,1,1,0
Carey Price,MTL,28,12,2.06,0.934,10,2,24,341,365,2,698,0,0,0,0
Anton Khudobin,ANA,29,9,2.69,0.909,3,3,16,159,175,1,356,0,0,0,0
Jean-Francois Berube,NYI,24,7,2.71,0.914,3,2,18,192,210,0,399,0,0,0,0
Dustin Tokarski,MTL,26,6,3.18,0.878,1,3,12,86,98,0,226,0,0,0,0
Laurent Brossoit,EDM,22,5,3.61,0.873,0,4,18,124,142,0,300,0,0,0,0
Scott Wedgewood,NJD,23,4,1.25,0.957,2,1,5,111,116,1,241,0,0,0,0
Niklas Bäckström,CGY,37,4,3.35,0.881,2,2,13,96,109,0,233,0,0,0,0
Christopher Gibson,NYI,23,4,3.4,0.882,1,1,11,82,93,0,194,0,0,0,0
Anton Forsberg,CBJ,23,4,3.03,0.907,1,3,9,88,97,0,178,0,0,0,0
Yann Danis,NJD,34,2,4.75,0.778,0,1,4,14,18,0,51,0,0,0,0
Niklas Treutle,ARI,24,2,6.04,0.75,0,1,5,15,20,0,50,0,0,0,2
Peter Budaj,LAK,33,1,3.85,0.857,1,0,4,24,28,0,62,0,0,0,0
Richard Bachman,VAN,28,1,3.01,0.903,1,0,3,28,31,0,60,0,0,0,0
Kristers Gudlevskis,TBL,23,1,1.0,0.969,0,0,1,31,32,0,60,0,0,0,0
Jason Kasdorf,BUF,23,1,4.0,0.867,0,1,4,26,30,0,60,0,0,0,0
Charlie Lindgren,MTL,22,1,2.0,0.929,1,0,2,26,28,0,60,0,0,0,0
Juuse Saros,NSH,20,1,3.1,0.87,0,1,3,20,23,0,58,0,0,0,0
Matthew O'Connor,OTT,23,1,3.1,0.912,0,1,3,31,34,0,58,0,0,0,0
Mike Leighton,CHI,34,1,1.52,0.941,0,0,1,16,17,0,39,0,0,0,0
Chris Driedger,OTT,21,1,0.0,1.0,0,0,0,11,11,0,32,0,0,0,0
Pheonix Copley,STL,23,1,2.46,0.833,0,0,1,5,6,0,24,0,0,0,0
Magnus Hellberg,NYR,24,1,6.0,0.667,0,0,2,4,6,0,20,0,0,0,0
Roman Will,COL,23,1,3.25,0.667,0,0,1,2,3,0,18,0,0,0,0
Jordan Binnington,STL,22,1,4.69,0.75,0,0,1,3,4,0,13,0,0,0,0
