Name,Team,Age,GP,GAA,SV%,W,L,GA,SV,SOG,SO,TIME,G,A,P,PIM
Jonathan Quick,LAK,29,68,2.22,0.918,40,23,149,1671,1820,5,4034,0,3,3,10
Devan Dubnyk,MIN,29,67,2.33,0.918,32,26,150,1679,1829,5,3861,0,0,0,8
Pekka Rinne,NSH,33,66,2.48,0.908,34,21,161,1583,1744,4,3895,0,2,2,6
Braden Holtby,WSH,26,66,2.2,0.922,48,9,141,1661,1802,3,3841,0,1,1,6
Martin Jones,SJS,25,65,2.27,0.918,37,23,143,1591,1734,6,3786,0,0,0,0
Henrik Lundqvist,NYR,33,65,2.48,0.92,35,21,156,1788,1944,4,3772,0,4,4,4
Tuukka Rask,BOS,28,64,2.56,0.915,31,22,157,1697,1854,4,3678,0,1,1,0
Roberto Luongo,FLA,36,62,2.35,0.922,35,19,141,1660,1801,4,3602,0,2,2,4
Ben Bishop,TBL,29,61,2.06,0.926,35,21,123,1549,1672,6,3585,0,1,1,4
Craig Anderson,OTT,34,60,2.78,0.916,31,23,161,1754,1915,4,3477,0,2,2,0
Marc-Andre Fleury,PIT,31,58,2.29,0.921,35,17,132,1533,1665,5,3463,0,1,1,2
Cory Schneider,NJD,29,58,2.15,0.924,27,25,122,1475,1597,4,3412,0,0,0,0
Corey Crawford,CHI,31,58,2.37,0.924,35,18,131,1587,1718,7,3323,0,1,1,2
Semyon Varlamov,COL,27,57,2.81,0.914,27,25,148,1566,1714,2,3159,0,0,0,6
Cameron Talbot,EDM,28,56,2.55,0.917,21,27,137,1511,1648,3,3223,0,1,1,0
Mike Condon,MTL,25,55,2.71,0.903,21,25,141,1317,1458,1,3123,0,0,0,0
Steve Mason,PHI,27,54,2.51,0.918,23,19,132,1470,1602,4,3150,0,0,0,2
Petr Mrazek,DET,23,54,2.33,0.921,27,16,115,1333,1448,4,2961,0,2,2,2
Cam Ward,CAR,31,52,2.41,0.909,23,17,122,1221,1343,1,3038,0,0,0,0
Ryan Miller,VAN,35,51,2.7,0.916,17,24,137,1497,1634,1,3043,0,1,1,2
Antti Niemi,DAL,32,48,2.67,0.905,25,13,118,1128,1246,3,2654,0,2,2,2
Jake Allen,STL,25,47,2.35,0.92,26,15,101,1159,1260,6,2583,0,0,0,0
Chad Johnson,BUF,29,45,2.36,0.92,22,16,102,1168,1270,1,2591,0,2,2,0
Frederik Andersen,ANA,26,43,2.3,0.919,22,9,88,998,1086,3,2298,0,1,1,2
Kari Lehtonen,DAL,32,43,2.76,0.906,25,10,105,1016,1121,2,2279,0,3,3,2
Brian Elliott,STL,30,42,2.07,0.93,23,8,78,1035,1113,4,2263,0,0,0,2
Thomas Greiss,NYI,29,41,2.36,0.925,23,11,90,1107,1197,1,2287,0,1,1,2
John Gibson,ANA,22,40,2.07,0.92,21,13,79,913,992,4,2295,0,1,1,2
James Reimer,SJS,27,40,2.31,0.922,17,14,88,1040,1128,3,2290,0,0,0,0
Louis Domingue,ARI,23,39,2.75,0.912,15,18,101,1041,1142,2,2206,0,1,1,0
Jonathan Bernier,TOR,27,38,2.88,0.908,12,21,103,1011,1114,3,2147,0,0,0,2
Karri Rämö,CGY,29,37,2.63,0.909,17,18,94,940,1034,1,2145,0,1,1,0
Sergei Bobrovsky,CBJ,27,37,2.75,0.908,15,19,97,952,1049,1,2116,0,2,2,2
Jim Howard,DET,31,37,2.8,0.906,14,14,92,887,979,2,1974,0,1,1,2
Jaroslav Halak,NYI,30,36,2.3,0.919,18,13,80,904,984,3,2091,0,1,1,0
Eddie Läck,CAR,27,34,2.81,0.901,12,14,90,820,910,2,1920,0,2,2,0
Ondrej Pavelec,WPG,28,33,2.78,0.904,13,13,88,830,918,1,1899,0,0,0,0
Jacob Markström,VAN,25,33,2.73,0.915,13,14,84,904,988,0,1847,0,2,2,4
Michal Neuvirth,PHI,27,32,2.27,0.924,18,8,69,839,908,3,1825,0,1,1,2
Mike Smith,ARI,33,32,2.63,0.916,15,13,77,844,921,3,1754,0,1,1,2
Joonas Korpisalo,CBJ,21,31,2.6,0.92,16,11,78,891,969,0,1803,0,0,0,2
Michael Hutchinson,WPG,25,30,2.84,0.907,9,15,75,730,805,0,1586,0,0,0,0
Scott Darling,CHI,27,29,2.58,0.915,12,8,67,717,784,1,1560,0,0,0,0
Anders Nilsson,STL,25,29,3.12,0.901,10,13,78,711,789,0,1500,0,1,1,4
Connor Hellebuyck,WPG,22,26,2.34,0.918,13,11,56,627,683,2,1433,0,0,0,0
Jonas Hiller,CGY,33,26,3.51,0.879,9,11,79,575,654,1,1351,0,0,0,0
Al Montoya,FLA,30,25,2.18,0.919,12,7,49,559,608,0,1351,0,0,0,2
Antti Raanta,NYR,26,25,2.24,0.919,11,6,43,487,530,1,1150,0,0,0,0
Andrew Hammond,OTT,27,24,2.65,0.914,7,11,61,651,712,1,1382,0,0,0,2
Andrei Vasilevski,TBL,21,24,2.76,0.91,11,10,58,588,646,1,1259,0,0,0,0
Jonas Gustavsson,BOS,31,24,2.72,0.908,11,9,57,565,622,1,1258,0,0,0,0
Keith Kinkaid,NJD,26,23,2.81,0.904,9,9,58,547,605,2,1240,0,0,0,2
Joni Ortio,CGY,24,22,2.76,0.903,7,9,55,509,564,1,1197,0,0,0,2
Philipp Grubauer,WSH,24,22,2.32,0.918,8,9,43,480,523,0,1111,0,0,0,2
Robin Lehner,BUF,24,21,2.47,0.924,5,9,48,586,634,1,1164,0,1,1,8
Darcy Kuemper,MIN,25,21,2.43,0.915,6,7,43,464,507,2,1063,0,0,0,2
Linus Ullmark,BUF,22,20,2.6,0.913,8,10,49,516,565,0,1131,0,0,0,0
Calvin Pickard,COL,23,20,2.56,0.922,7,6,42,497,539,1,985,0,1,1,0
Anders Lindbäck,ARI,27,19,3.11,0.894,5,7,47,396,443,0,906,0,1,1,0
Curtis McElhinney,CBJ,32,18,3.3,0.89,2,7,46,371,417,0,835,0,1,1,0
Carter Hutton,NSH,30,17,2.33,0.918,7,5,38,426,464,2,979,0,1,1,0
Garret Sparks,TOR,22,17,3.02,0.893,6,9,49,407,456,1,975,0,0,0,0
Jhonas Enroth,LAK,27,16,2.17,0.922,7,5,31,367,398,2,856,0,0,0,0
