Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%
Mathieu Perreault,WSH,24,F,39,6,11,17,20,7,11:40,10:26,1:11,0:02,4,2,0,1,0,10,1,0,3,0,14,3,0,4,0,17.6%,0.791,1.45,2.242,0.589,1.473,2.063,2.585,1.293,3.878,0.154,0.282,0.436,47,12.8%,28,8,168,157,51.69%
Joe Corvo,CAR,35,D,40,6,11,17,14,-3,18:45,15:46,2:15,0:43,3,3,0,2,0,6,5,0,2,0,9,8,0,4,0,47.1%,0.48,0.88,1.359,0.285,0.571,0.856,1.989,3.316,5.305,0.15,0.275,0.425,71,8.5%,27,38,0,0,0.00%
Vern Fiddler,DAL,32,F,46,4,13,17,48,3,12:51,10:01,0:26,2:23,3,1,0,0,0,11,1,1,2,0,14,2,1,2,0,11.8%,0.406,1.319,1.725,0.39,1.431,1.821,2.953,2.953,5.906,0.087,0.283,0.37,56,7.1%,34,28,319,300,51.53%
Dennis Seidenberg,BOS,31,D,46,4,13,17,10,18,23:47,19:31,1:05,3:10,4,0,0,2,0,11,2,0,3,1,15,2,0,5,1,11.8%,0.219,0.713,0.932,0.267,0.735,1.002,0.0,2.397,2.397,0.087,0.283,0.37,83,4.8%,115,115,0,0,0.00%
Sami Salo,TBL,38,D,46,2,15,17,16,5,20:59,16:06,2:23,2:29,1,1,0,0,0,9,6,0,1,0,10,7,0,1,0,41.2%,0.124,0.932,1.057,0.081,0.729,0.81,0.544,3.263,3.807,0.043,0.326,0.37,48,4.2%,40,65,0,0,0.00%
Gabriel Bourque,NSH,22,F,34,11,5,16,4,6,15:49,13:54,1:03,0:51,7,3,1,2,0,5,0,0,1,0,12,3,1,3,0,18.8%,1.226,0.557,1.783,0.888,0.635,1.523,4.991,0.0,4.991,0.324,0.147,0.471,50,22.0%,39,23,4,2,66.67%
Adam Henrique,NJD,22,F,42,11,5,16,16,-3,18:19,13:54,2:39,1:45,6,3,2,2,0,3,1,1,1,0,9,4,3,3,0,25.0%,0.858,0.39,1.248,0.616,0.308,0.924,1.616,0.539,2.154,0.262,0.119,0.381,78,14.1%,27,21,333,347,48.97%
Magnus Pääjärvi,EDM,21,F,42,9,7,16,14,-1,14:07,12:18,1:24,0:24,6,2,1,2,0,7,0,0,1,0,13,2,1,3,0,12.5%,0.91,0.708,1.618,0.697,0.813,1.509,2.02,0.0,2.02,0.214,0.167,0.381,75,12.0%,24,23,4,8,33.33%
Matt Calvert,CBJ,23,F,42,9,7,16,32,-9,14:10,12:31,0:27,1:11,8,0,1,2,1,7,0,0,2,0,15,0,1,4,1,0.0%,0.907,0.705,1.612,0.912,0.798,1.71,0.0,0.0,0.0,0.214,0.167,0.381,63,14.3%,57,24,2,4,33.33%
Mikhail Grabovski,TOR,28,F,48,9,7,16,24,-10,15:34,13:50,1:42,0:01,9,0,0,1,0,4,3,0,1,1,13,3,0,2,1,18.8%,0.723,0.562,1.285,0.813,0.361,1.174,0.0,2.2,2.2,0.188,0.146,0.333,80,11.3%,34,20,323,315,50.63%
Mikael Backlund,CGY,23,F,32,8,8,16,29,-6,15:07,13:19,1:23,0:23,6,2,0,1,0,6,2,0,1,1,12,4,0,2,1,25.0%,0.992,0.992,1.984,0.844,0.844,1.688,2.686,2.686,5.371,0.25,0.25,0.5,88,9.1%,31,19,194,213,47.67%
Tom Pyatt,TBL,25,F,43,8,8,16,12,5,13:34,11:32,0:12,1:50,8,0,0,1,0,8,0,0,1,1,16,0,0,2,1,0.0%,0.822,0.822,1.644,0.967,0.967,1.935,0.0,0.0,0.0,0.186,0.186,0.372,60,13.3%,22,36,145,145,50.00%
Patrick Dwyer,CAR,29,F,46,8,8,16,12,-7,15:25,12:57,0:20,2:07,6,1,1,0,0,8,0,0,1,0,14,1,1,1,0,6.3%,0.676,0.676,1.352,0.604,0.805,1.41,3.75,0.0,3.75,0.174,0.174,0.348,93,8.6%,57,28,17,30,36.17%
Jason Garrison,VAN,28,D,47,8,8,16,28,18,21:41,17:04,2:17,2:18,5,3,0,2,0,5,3,0,2,0,10,6,0,4,0,37.5%,0.471,0.471,0.942,0.374,0.374,0.747,1.666,1.666,3.333,0.17,0.17,0.34,94,8.5%,36,58,0,0,0.00%
Jake Muzzin,LAK,23,D,45,7,9,16,35,16,17:53,15:35,2:15,0:02,4,3,0,1,0,5,4,0,2,0,9,7,0,3,0,43.8%,0.522,0.671,1.192,0.342,0.427,0.769,1.776,2.368,4.145,0.156,0.2,0.356,77,9.1%,70,29,0,0,0.00%
Daniel Briere,PHI,35,F,34,6,10,16,10,-13,16:03,13:09,2:52,0:01,3,3,0,1,1,7,3,0,1,0,10,6,0,2,1,37.5%,0.659,1.099,1.758,0.402,0.939,1.341,1.844,1.844,3.688,0.176,0.294,0.471,87,6.9%,15,6,62,73,45.93%
Simon Gagne,PHI,32,F,38,5,11,16,8,-1,14:08,12:11,1:34,0:22,3,2,0,0,0,8,2,1,1,0,11,4,1,1,0,25.0%,0.558,1.229,1.787,0.389,1.037,1.426,1.997,1.997,3.994,0.132,0.289,0.421,76,6.6%,24,15,2,0,100.00%
Dougie Hamilton,BOS,19,D,42,5,11,16,14,4,17:07,14:55,1:55,0:16,3,2,0,0,0,9,2,0,1,0,12,4,0,1,0,25.0%,0.417,0.917,1.334,0.287,0.861,1.148,1.487,1.487,2.975,0.119,0.262,0.381,83,6.0%,59,33,0,0,0.00%
Grant Clitsome,WPG,27,D,44,4,12,16,18,10,18:50,16:19,1:02,1:27,2,2,0,0,0,11,1,0,4,1,13,3,0,4,1,18.8%,0.29,0.869,1.158,0.167,0.918,1.085,2.617,1.309,3.926,0.091,0.273,0.364,56,7.1%,82,54,0,0,0.00%
