Name,Team,Age,GP,GAA,SV%,W,L,GA,SV,SOG,SO,TIME,G,A,P,PIM
Kari Lehtonen,DAL,30,65,2.41,0.919,33,20,153,1735,1888,5,3804,0,4,4,4
Marc-Andre Fleury,PIT,29,64,2.37,0.915,39,18,150,1624,1774,5,3792,0,0,0,4
Antti Niemi,SJS,30,64,2.39,0.913,39,17,149,1556,1705,4,3740,0,2,2,0
Henrik Lundqvist,NYR,31,63,2.36,0.92,33,24,144,1666,1810,5,3655,0,4,4,0
Semyon Varlamov,COL,25,63,2.41,0.928,41,14,146,1867,2013,2,3640,0,3,3,2
Ben Bishop,TBL,27,63,2.23,0.924,37,14,133,1625,1758,5,3586,0,2,2,4
Mike Smith,PHX,31,62,2.64,0.915,27,21,159,1712,1871,3,3610,1,3,4,14
Steve Mason,PHI,25,61,2.5,0.917,33,18,145,1606,1751,4,3486,0,1,1,10
Ryan Miller,STL,33,59,2.64,0.918,25,30,154,1731,1885,1,3501,0,2,2,0
Carey Price,MTL,26,59,2.32,0.927,34,20,134,1694,1828,6,3464,0,2,2,4
Corey Crawford,CHI,29,59,2.26,0.917,32,16,128,1405,1533,2,3395,0,1,1,0
Tuukka Rask,BOS,26,58,2.04,0.93,36,15,115,1526,1641,7,3386,0,2,2,2
Sergei Bobrovsky,CBJ,25,58,2.38,0.923,32,20,131,1568,1699,5,3299,0,1,1,2
Ondrej Pavelec,WPG,26,57,3.01,0.901,22,26,163,1481,1644,1,3248,0,3,3,0
Roberto Luongo,FLA,34,56,2.4,0.919,25,23,129,1460,1589,4,3222,0,0,0,2
Jonathan Bernier,TOR,25,55,2.69,0.923,26,19,138,1649,1787,1,3084,0,1,1,4
Craig Anderson,OTT,32,53,3.0,0.911,25,16,150,1530,1680,4,3000,0,1,1,2
Jaroslav Halak,WSH,28,52,2.25,0.921,29,13,110,1275,1385,5,2939,0,1,1,0
Jim Howard,DET,29,51,2.66,0.91,21,19,133,1349,1482,2,3004,0,0,0,6
Jonas Hiller,ANA,31,50,2.48,0.911,29,13,120,1228,1348,5,2909,0,2,2,0
Jonathan Quick,LAK,27,49,2.07,0.916,27,17,100,1083,1183,6,2904,0,2,2,2
Tim Thomas,DAL,39,48,2.88,0.908,18,24,128,1262,1390,0,2663,0,1,1,4
