Name,Team,Age,GP,GAA,SV%,W,L,GA,SV,SOG,SO,TIME,G,A,P,PIM
Cam Ward,CAR,26,74,2.56,0.923,37,26,184,2191,2375,4,4318,0,1,1,0
Carey Price,MTL,23,72,2.35,0.923,38,28,165,1982,2147,8,4206,0,2,2,13
Miikka Kiprusoff,CGY,34,71,2.63,0.906,37,24,182,1753,1935,6,4156,0,1,1,2
Kari Lehtonen,DAL,27,69,2.55,0.914,34,24,175,1868,2043,3,4119,0,6,6,6
Ilya Bryzgalov,PHX,30,68,2.48,0.921,36,20,168,1957,2125,7,4060,0,0,0,2
Henrik Lundqvist,NYR,28,68,2.28,0.923,36,27,152,1813,1965,11,4007,0,4,4,6
Ryan Miller,BUF,30,66,2.59,0.916,34,22,165,1799,1964,5,3829,0,2,2,6
Marc-Andre Fleury,PIT,26,65,2.32,0.918,36,20,143,1599,1742,3,3695,0,1,1,10
Pekka Rinne,NSH,28,64,2.12,0.93,33,22,134,1771,1905,6,3789,0,0,0,12
Jim Howard,DET,26,63,2.79,0.908,37,17,168,1662,1830,2,3615,0,1,1,4
Jonathan Quick,LAK,24,61,2.24,0.918,35,22,134,1497,1631,6,3591,0,2,2,0
Roberto Luongo,VAN,31,60,2.11,0.928,38,15,126,1627,1753,4,3590,0,3,3,2
Antti Niemi,SJS,27,60,2.38,0.92,35,18,140,1601,1741,6,3524,0,1,1,2
Ondrej Pavelec,ATL,23,58,2.73,0.914,21,23,147,1558,1705,4,3225,0,0,0,4
Tim Thomas,BOS,36,57,2.0,0.938,35,11,112,1699,1811,9,3364,0,3,3,13
Corey Crawford,CHI,26,57,2.3,0.917,33,18,128,1417,1545,4,3337,0,1,1,2
Jaroslav Halak,STL,25,57,2.48,0.91,27,21,136,1382,1518,7,3294,0,0,0,6
Tomas Vokoun,FLA,34,57,2.55,0.922,22,28,137,1616,1753,6,3224,0,1,1,2
Martin Brodeur,NJD,38,56,2.45,0.903,23,26,127,1186,1313,6,3116,0,2,2,2
Brian Elliott,COL,25,55,3.34,0.893,15,27,166,1385,1551,3,2983,0,0,0,0
Dwayne Roloson,TBL,41,54,2.59,0.914,24,25,138,1458,1596,4,3199,0,2,2,8
Steve Mason,CBJ,22,54,3.03,0.901,24,21,153,1388,1541,3,3027,0,1,1,2
Sergei Bobrovsky,PHI,22,54,2.59,0.915,28,13,130,1397,1527,0,3017,0,2,2,2
Niklas Bäckström,MIN,32,51,2.66,0.916,22,23,132,1434,1566,3,2978,0,1,1,2
Craig Anderson,OTT,29,51,2.83,0.913,24,20,135,1411,1546,2,2865,0,1,1,4
Jonas Hiller,ANA,28,49,2.56,0.924,26,16,114,1379,1493,5,2672,0,1,1,0
Michal Neuvirth,WSH,22,48,2.45,0.914,27,12,110,1173,1283,4,2689,0,0,0,0
Nikolai Khabibulin,EDM,37,47,3.4,0.89,10,32,153,1236,1389,2,2701,0,0,0,12
Peter Budaj,COL,28,45,3.2,0.895,15,21,130,1104,1234,1,2439,0,1,1,6
Dan Ellis,ANA,30,44,2.77,0.898,21,10,111,978,1089,2,2408,0,1,1,0
James Reimer,TOR,22,37,2.6,0.921,20,10,90,1044,1134,3,2080,0,1,1,2
Mathieu Garon,CBJ,32,36,2.72,0.901,10,14,88,799,887,3,1938,0,1,1,2
Devan Dubnyk,EDM,24,35,2.71,0.916,12,13,93,1010,1103,2,2061,0,0,0,2
Brian Boucher,PHI,33,34,2.42,0.916,18,10,76,826,902,0,1885,0,0,0,0
Johan Hedberg,NJD,37,34,2.38,0.913,15,12,68,709,777,3,1717,0,1,1,4
Chris Mason,ATL,34,33,3.39,0.892,13,13,95,787,882,1,1682,0,0,0,4
Jean-Sebastien Giguere,TOR,33,33,2.87,0.9,11,11,78,699,777,0,1633,0,0,0,4
José Théodore,MIN,34,32,2.71,0.916,15,11,81,882,963,1,1793,0,0,0,2
Scott Clemmensen,FLA,33,31,2.62,0.911,8,11,74,759,833,1,1696,0,1,1,2
Marty Turco,CHI,35,29,3.02,0.897,11,11,82,717,799,1,1631,0,0,0,6
Tuukka Rask,BOS,23,29,2.67,0.918,11,14,71,795,866,2,1594,0,0,0,2
Curtis McElhinney,OTT,27,28,3.18,0.897,9,13,74,647,721,2,1395,0,1,1,0
Semyon Varlamov,WSH,22,27,2.23,0.924,11,9,58,701,759,2,1560,0,0,0,2
Rick DiPietro,NYI,29,26,3.44,0.886,8,14,88,685,773,1,1533,0,1,1,25
Jonathan Bernier,LAK,22,25,2.48,0.913,11,8,57,595,652,3,1378,0,0,0,0
Cory Schneider,VAN,24,25,2.23,0.929,16,4,51,663,714,1,1372,0,3,3,0
Ty Conklin,STL,34,25,3.22,0.881,8,8,69,513,582,2,1285,0,0,0,4
Antero Niittymäki,SJS,30,24,2.71,0.896,12,7,64,551,615,0,1414,0,0,0,2
Brent Johnson,PIT,33,23,2.17,0.922,13,5,47,557,604,1,1297,0,1,1,24
Jonas Gustavsson,TOR,26,23,3.28,0.89,6,13,68,552,620,0,1242,0,0,0,0
Mike Smith,TBL,28,22,2.89,0.899,13,6,58,518,576,1,1202,0,1,1,2
Anders Lindbäck,NSH,22,22,2.6,0.915,11,5,49,527,576,2,1131,0,0,0,0
Al Montoya,NYI,25,20,2.39,0.921,9,5,46,539,585,1,1154,0,1,1,2
Andrew Raycroft,DAL,30,19,2.83,0.91,8,5,40,406,446,2,847,0,0,0,0
Martin Biron,NYR,33,17,2.13,0.923,8,6,33,393,426,0,928,0,0,0,0
Jason LaBarbera,PHX,30,17,3.26,0.909,7,6,48,481,529,2,883,0,0,0,2
Henrik Karlsson,CGY,27,17,2.58,0.908,4,5,36,355,391,0,838,0,0,0,0
Alex Auld,MTL,29,16,2.65,0.914,6,2,33,350,383,0,749,0,1,1,2
Joey MacDonald,DET,30,15,2.58,0.917,5,5,31,341,372,1,721,0,0,0,0
Jhonas Enroth,BUF,22,14,2.73,0.907,9,2,35,342,377,1,769,0,0,0,0
Pascal Leclaire,OTT,28,14,2.83,0.908,4,7,36,355,391,0,763,0,0,0,0
Braden Holtby,WSH,21,14,1.79,0.934,10,2,22,310,332,2,736,0,1,1,0
Justin Peters,CAR,24,12,3.98,0.875,3,5,43,300,343,0,648,0,0,0,4
Chris Osgood,DET,38,11,2.77,0.903,5,3,29,269,298,0,629,0,0,0,4
Ray Emery,ANA,28,10,2.28,0.927,7,2,20,252,272,0,527,0,0,0,0
Kevin Poulin,NYI,20,10,2.44,0.924,4,2,20,242,262,0,491,0,0,0,0
Nathan Lawson,NYI,27,10,4.06,0.893,1,4,26,217,243,0,384,0,0,0,0
Robin Lehner,OTT,19,8,3.52,0.888,1,4,20,158,178,0,341,0,0,0,2
Ben Bishop,STL,24,7,2.77,0.899,3,4,17,151,168,1,369,0,0,0,0
Patrick Lalime,BUF,36,7,2.96,0.89,0,5,18,145,163,0,365,0,1,1,0
Mikko Koskinen,NYI,22,4,4.33,0.873,2,1,15,103,118,0,208,0,0,0,0
Anton Khudobin,MIN,24,4,1.59,0.942,2,1,5,81,86,1,189,0,0,0,0
Mike Brodeur,OTT,27,4,4.34,0.833,0,1,7,35,42,0,97,0,0,0,0
Martin Gerber,EDM,36,3,1.3,0.958,3,0,4,91,95,0,185,0,1,1,0
Cedrick Desjardins,TBL,25,2,1.0,0.968,2,0,2,61,63,0,120,0,0,0,0
Mike McKenna,NJD,27,2,3.05,0.893,0,1,6,50,56,0,118,0,0,0,0
Peter Mannino,ATL,26,2,4.12,0.861,0,0,5,31,36,0,73,0,0,0,0
Mike Leighton,PHI,29,1,4.01,0.889,1,0,4,32,36,0,60,0,0,0,0
Mark Dekanich,NSH,24,1,3.6,0.88,0,0,3,22,25,0,50,0,0,0,0
Jacob Markström,FLA,20,1,3.01,0.857,0,1,2,12,14,0,40,0,0,0,0
Timo Pielmeier,ANA,21,1,7.5,0.583,0,0,5,7,12,0,40,0,0,0,0
Matt Climie,PHX,27,1,1.85,0.938,0,0,1,15,16,0,32,0,0,0,0
