Name,Team,Age,GP,GAA,SV%,W,L,GA,SV,SOG,SO,TIME,G,A,P,PIM
Cameron Talbot,EDM,29,73,2.39,0.919,42,22,171,1946,2117,7,4294,0,0,0,4
Frederik Andersen,TOR,27,66,2.67,0.918,33,16,169,1883,2052,4,3799,0,1,1,16
Martin Jones,SJS,26,65,2.4,0.912,35,23,152,1573,1725,2,3800,0,0,0,0
Devan Dubnyk,MIN,30,65,2.25,0.924,40,19,141,1701,1842,5,3758,0,0,0,10
Tuukka Rask,BOS,29,65,2.23,0.915,37,20,137,1473,1610,8,3680,0,2,2,0
Sergei Bobrovsky,CBJ,28,63,2.06,0.932,41,17,127,1727,1854,7,3707,0,0,0,8
Braden Holtby,WSH,27,63,2.07,0.925,42,13,127,1563,1690,9,3680,0,0,0,0
Carey Price,MTL,29,62,2.23,0.923,37,20,138,1656,1794,3,3708,0,1,1,4
Cam Ward,CAR,32,61,2.69,0.905,26,22,162,1549,1711,2,3618,0,1,1,6
Pekka Rinne,NSH,34,61,2.42,0.918,31,19,144,1613,1757,3,3568,0,0,0,4
Jake Allen,STL,26,61,2.42,0.915,33,20,138,1482,1620,4,3418,0,1,1,4
Cory Schneider,NJD,30,60,2.82,0.909,20,27,163,1618,1781,2,3473,0,0,0,0
Peter Budaj,TBL,34,60,2.18,0.915,30,21,120,1294,1414,7,3308,0,1,1,0
Robin Lehner,BUF,25,59,2.68,0.92,23,26,152,1758,1910,2,3405,0,1,1,6
Kari Lehtonen,DAL,33,59,2.85,0.902,22,25,151,1395,1546,3,3177,0,1,1,4
Steve Mason,PHI,28,58,2.66,0.908,26,21,143,1413,1556,3,3225,0,1,1,0
Henrik Lundqvist,NYR,34,57,2.74,0.91,31,20,148,1502,1650,2,3240,0,1,1,0
Connor Hellebuyck,WPG,23,56,2.89,0.907,26,19,146,1426,1572,4,3034,0,0,0,0
Corey Crawford,CHI,32,55,2.55,0.918,32,18,138,1553,1691,2,3247,0,1,1,2
Mike Smith,ARI,34,55,2.92,0.914,19,26,156,1663,1819,3,3202,0,0,0,14
Ryan Miller,VAN,36,54,2.8,0.914,18,29,150,1587,1737,3,3212,0,1,1,22
John Gibson,ANA,23,52,2.22,0.924,25,16,109,1328,1437,6,2950,0,1,1,4
Thomas Greiss,NYI,30,51,2.69,0.913,26,18,126,1327,1453,3,2813,0,1,1,0
Petr Mrazek,DET,24,50,3.05,0.901,18,21,145,1317,1462,1,2857,0,0,0,2
Andrei Vasilevski,TBL,22,50,2.61,0.917,23,17,123,1357,1480,2,2831,0,2,2,2
Calvin Pickard,COL,24,50,2.98,0.904,15,31,140,1321,1461,2,2820,0,2,2,2
Brian Elliott,CGY,31,49,2.55,0.91,26,18,121,1217,1338,2,2844,0,0,0,4
Matt Murray,PIT,22,49,2.41,0.923,32,10,111,1339,1450,4,2766,0,2,2,0
James Reimer,FLA,28,43,2.53,0.92,18,16,98,1124,1222,3,2325,0,0,0,2
