Name,Team,Age,GP,GAA,SV%,W,L,GA,SV,SOG,SO,TIME,G,A,P,PIM
Mike Condon,OTT,26,41,2.48,0.914,19,14,96,1026,1122,5,2324,0,0,0,4
Craig Anderson,OTT,35,40,2.28,0.926,25,11,92,1155,1247,5,2421,0,1,1,0
Roberto Luongo,FLA,37,40,2.68,0.915,17,15,104,1113,1217,1,2327,0,1,1,4
Ben Bishop,LAK,30,39,2.54,0.91,18,15,94,946,1040,1,2223,0,0,0,10
Jonathan Bernier,ANA,28,39,2.5,0.916,21,7,83,899,982,2,1993,0,0,0,4
Marc-Andre Fleury,PIT,32,38,3.02,0.909,18,10,107,1074,1181,1,2125,0,0,0,6
Antti Niemi,DAL,33,37,3.3,0.892,12,12,95,785,880,0,1729,0,0,0,0
Chad Johnson,CGY,30,36,2.59,0.91,18,15,87,882,969,3,2013,0,0,0,0
Scott Darling,CHI,28,32,2.38,0.924,18,5,67,810,877,2,1689,0,0,0,0
Louis Domingue,ARI,24,31,3.08,0.908,11,15,82,806,888,0,1599,0,0,0,0
Antti Raanta,NYR,27,30,2.26,0.922,16,8,61,721,782,4,1617,0,1,1,0
Carter Hutton,STL,31,30,2.39,0.913,13,8,58,605,663,4,1459,0,1,1,4
Jaroslav Halak,NYI,31,28,2.8,0.915,12,9,75,810,885,2,1605,0,1,1,0
Michael Hutchinson,WPG,26,28,2.92,0.903,9,12,67,623,690,1,1378,0,0,0,0
Michal Neuvirth,PHI,28,28,2.82,0.891,11,11,64,522,586,0,1364,0,0,0,2
Anders Nilsson,BUF,26,26,2.67,0.923,10,10,66,791,857,1,1484,0,0,0,0
Keith Kinkaid,NJD,27,26,2.64,0.917,8,13,65,713,778,1,1476,0,1,1,0
Jacob Markström,VAN,26,26,2.63,0.91,10,11,62,630,692,0,1417,0,0,0,2
Jim Howard,DET,32,26,2.11,0.927,10,11,49,626,675,1,1397,0,0,0,2
Semyon Varlamov,COL,28,24,3.38,0.898,6,17,76,669,745,1,1348,0,1,1,0
Philipp Grubauer,WSH,25,24,2.04,0.927,13,6,43,542,585,3,1265,0,0,0,0
Juuse Saros,NSH,21,21,2.35,0.924,10,8,47,567,614,1,1200,0,1,1,0
Curtis McElhinney,TOR,33,21,2.7,0.917,8,8,51,565,616,1,1135,0,0,0,0
Aaron Dell,SJS,27,20,2.0,0.931,11,6,37,496,533,1,1111,0,0,0,0
Eddie Läck,CAR,28,20,2.64,0.902,8,7,48,444,492,1,1090,0,0,0,0
Al Montoya,MTL,31,19,2.67,0.912,8,6,50,519,569,2,1124,0,2,2,2
Darcy Kuemper,MIN,26,18,3.13,0.902,8,5,55,507,562,0,1053,0,1,1,4
Jonathan Quick,LAK,30,17,2.26,0.917,8,5,35,386,421,2,931,0,0,0,2
Anton Khudobin,BOS,30,16,2.65,0.904,7,6,39,366,405,0,885,0,1,1,2
Joonas Korpisalo,CBJ,22,14,2.88,0.905,7,5,38,363,401,1,791,0,0,0,0
Jared Coreau,DET,25,14,3.46,0.887,5,4,41,321,362,2,712,0,0,0,0
Jean-Francois Berube,NYI,25,14,3.42,0.889,3,2,30,241,271,0,527,0,0,0,0
Jeff Zatkoff,LAK,29,13,2.94,0.879,2,7,27,196,223,0,550,0,0,0,0
Jeremy Smith,COL,27,10,3.54,0.888,1,6,32,254,286,0,543,0,0,0,0
Ondrej Pavelec,WPG,29,8,3.55,0.888,4,4,26,207,233,0,440,0,0,0,0
Zane McIntyre,BOS,24,8,3.97,0.858,0,4,22,133,155,0,333,0,0,0,0
Laurent Brossoit,EDM,23,8,1.99,0.928,4,1,11,142,153,0,332,0,0,0,0
Anthony Stolarz,PHI,22,7,2.07,0.928,2,1,13,168,181,1,376,0,0,0,0
Jonas Gustavsson,EDM,32,7,3.1,0.878,1,3,17,122,139,0,329,0,0,0,0
Reto Berra,FLA,29,7,3.45,0.876,0,5,18,127,145,0,313,0,0,0,0
Jhonas Enroth,TOR,28,6,3.94,0.872,0,3,18,123,141,0,274,0,0,0,0
Andrew Hammond,OTT,28,6,4.09,0.837,0,2,14,72,86,0,206,0,0,0,0
Richard Bachman,VAN,29,5,2.64,0.92,2,3,13,149,162,0,295,0,0,0,0
Mike Leighton,CAR,35,4,3.42,0.87,2,2,12,80,92,0,210,0,1,1,0
Marek Mazanec,NSH,25,4,4.73,0.839,0,2,14,73,87,0,178,0,1,1,0
Spencer Martin,COL,21,3,4.35,0.865,0,2,13,83,96,0,179,0,0,0,0
Justin Peters,ARI,30,3,3.16,0.9,0,1,7,63,70,0,133,0,0,0,0
Charlie Lindgren,MTL,23,2,1.48,0.949,2,0,3,56,59,0,122,0,0,0,0
Antoine Bibeau,TOR,22,2,1.99,0.927,1,1,4,51,55,0,121,0,0,0,0
Alex Stalock,MIN,29,2,1.51,0.944,1,1,3,51,54,0,119,0,0,0,0
Magnus Hellberg,NYR,25,2,1.53,0.929,1,0,2,26,28,0,79,0,0,0,0
Jon Gillies,CGY,22,1,1.0,0.964,1,0,1,27,28,0,60,0,0,0,0
Linus Ullmark,BUF,23,1,3.07,0.917,0,1,3,33,36,0,59,0,0,0,0
Anton Forsberg,CBJ,24,1,4.1,0.852,0,1,4,23,27,0,59,0,0,0,0
Eric Comrie,WPG,21,1,4.05,0.897,1,0,4,35,39,0,59,0,0,0,0
Pheonix Copley,STL,24,1,5.09,0.828,0,1,5,24,29,0,59,0,0,0,0
Tristan Jarry,PIT,21,1,3.06,0.88,0,1,3,22,25,0,59,0,0,0,0
Chris Driedger,OTT,22,1,6.0,0.733,0,1,4,11,15,0,40,0,0,0,0
Malcolm Subban,BOS,23,1,5.88,0.813,0,1,3,13,16,0,31,0,0,0,0
Alexander Nedeljkovic,CAR,20,1,0.0,1.0,0,0,0,17,17,0,30,0,0,0,2
Jack Campbell,LAK,24,1,0.0,1.0,0,0,0,5,5,0,20,0,0,0,0
David Rittich,CGY,24,1,3.0,0.9,0,0,1,9,10,0,20,0,0,0,0
Marek Langhamer,ARI,22,1,3.87,0.875,0,0,1,7,8,0,16,0,0,0,0
Kristers Gudlevskis,TBL,24,1,0.0,1.0,0,0,0,3,3,0,11,0,0,0,0
Dustin Tokarski,ANA,27,1,0.0,1.0,0,0,0,5,5,0,10,0,0,0,0
Jorge Alves,CAR,37,1,0.0,,0,0,0,0,0,0,0,0,0,0,0
