Name,Team,Age,GP,GAA,SV%,W,L,GA,SV,SOG,SO,TIME,G,A,P,PIM
Marc Denis,TBL,29,44,3.19,0.883,17,18,125,943,1068,1,2353,0,0,0,2
Cristobal Huet,MTL,31,42,2.81,0.916,19,16,107,1173,1280,2,2286,0,1,1,0
Niklas Bäckström,MIN,28,41,1.97,0.929,23,8,73,955,1028,5,2227,0,1,1,2
Chris Mason,NSH,30,40,2.38,0.925,24,11,93,1151,1244,5,2342,0,1,1,4
Vesa Toskala,SJS,29,38,2.35,0.908,26,10,84,831,915,4,2142,0,3,3,0
Martin Biron,PHI,29,35,3.03,0.903,18,12,101,941,1042,0,2001,0,0,0,25
José Théodore,COL,30,33,3.26,0.891,13,15,95,775,870,0,1748,0,1,1,6
Mathieu Garon,LAK,28,32,2.66,0.907,13,10,79,770,849,2,1779,0,1,1,6
David Aebischer,MTL,28,32,3.17,0.9,13,12,93,836,929,0,1760,0,0,0,2
Mikael Tellqvist,PHX,27,31,3.35,0.885,11,12,92,707,799,2,1650,0,1,1,0
Curtis Sanford,STL,27,31,3.18,0.888,8,12,79,628,707,0,1492,0,0,0,0
Brent Johnson,WSH,29,30,3.61,0.889,6,15,99,795,894,0,1644,0,1,1,4
Martin Gerber,OTT,32,29,2.78,0.906,15,9,74,710,784,1,1599,0,0,0,0
John Grahame,CAR,31,28,2.85,0.897,10,13,72,630,702,0,1515,0,3,3,2
Ilya Bryzgalov,ANA,26,27,2.47,0.907,10,8,62,606,668,1,1509,0,0,0,0
Alex Auld,FLA,25,27,3.35,0.888,7,13,82,647,729,1,1471,0,1,1,2
Pascal Leclaire,CBJ,24,24,2.97,0.897,6,15,65,564,629,1,1315,0,0,0,2
Dan Cloutier,LAK,30,24,3.98,0.86,6,14,85,523,608,0,1281,0,1,1,21
Sean Burke,LAK,39,23,3.12,0.901,6,10,68,619,687,1,1310,0,1,1,4
Mike Smith,DAL,24,23,2.23,0.912,12,5,45,466,511,3,1213,0,0,0,2
Jocelyn Thibault,PIT,31,22,2.83,0.909,7,8,52,520,572,1,1101,0,0,0,0
Jussi Markkanen,EDM,31,22,3.14,0.886,5,9,52,405,457,0,992,0,0,0,0
Chris Osgood,DET,34,21,2.38,0.907,11,3,46,450,496,0,1161,0,1,1,6
Johan Hedberg,ATL,33,21,2.89,0.898,9,4,51,449,500,0,1057,0,1,1,6
Jean-Sebastien Aubin,TOR,29,20,3.43,0.876,3,5,46,325,371,0,804,0,0,0,0
Mike Dunham,NYI,34,19,3.74,0.89,4,10,61,491,552,0,979,0,1,1,0
Jason Bacashihua,STL,24,19,3.16,0.896,3,7,47,403,450,0,894,0,0,0,2
Brian Boucher,CBJ,29,18,3.34,0.882,2,11,54,402,456,1,969,0,0,0,0
Hannu Toivonen,BOS,22,18,4.23,0.875,3,9,63,439,502,0,894,0,0,0,2
Robert Esche,PHI,28,18,4.32,0.872,5,9,62,421,483,1,860,0,2,2,2
Jaroslav Halak,MTL,21,16,2.89,0.906,10,6,44,425,469,2,912,0,1,1,2
Ty Conklin,BUF,30,16,3.34,0.879,3,5,40,290,330,0,719,0,0,0,2
Joey MacDonald,BOS,26,15,3.12,0.894,3,7,43,363,406,0,826,0,0,0,0
Kevin Weekes,NYR,31,14,3.39,0.879,4,6,43,312,355,0,761,0,0,0,0
Patrick Lalime,CHI,32,12,3.07,0.896,4,6,33,284,317,1,645,0,0,0,0
Barry Brust,LAK,23,11,3.7,0.878,2,4,30,215,245,0,486,0,0,0,0
Jamie McLennan,CGY,35,9,3.6,0.895,3,5,32,272,304,0,533,0,0,0,16
Dany Sabourin,VAN,26,9,2.63,0.906,2,4,21,203,224,0,480,0,0,0,0
Wade Dubielewicz,NYI,27,8,2.06,0.934,4,1,13,185,198,0,379,0,0,0,0
Josh Harding,MIN,22,7,1.16,0.96,3,2,7,167,174,1,361,0,0,0,0
Scott Clemmensen,NJD,29,6,3.14,0.889,1,1,16,128,144,0,305,0,0,0,0
David LeNeveu,PHX,23,6,3.86,0.894,2,1,15,127,142,0,233,0,0,0,0
Craig Anderson,FLA,25,5,2.21,0.931,1,1,8,108,116,0,217,0,0,0,0
Mike Leighton,PHI,25,5,3.91,0.875,2,2,14,98,112,0,215,0,0,0,0
Michael Wall,ANA,21,4,2.97,0.877,2,2,10,71,81,0,202,0,1,1,0
Frederic Cassivi,WSH,31,4,2.6,0.897,0,1,6,52,58,0,139,0,0,0,0
Mike Morrison,PHX,27,4,6.13,0.79,0,3,13,49,62,0,127,0,0,0,0
Yutaka Fukufuji,LAK,24,4,4.37,0.837,0,3,7,36,43,0,96,0,0,0,0
Stephen Valiquette,NYR,29,3,3.14,0.867,1,2,6,39,45,0,115,0,0,0,0
Sebastien Caron,ANA,26,2,1.36,0.936,1,0,2,29,31,0,88,0,0,0,0
Karri Rämö,TBL,20,2,3.45,0.826,0,0,4,19,23,0,70,0,0,0,0
Marek Schwarz,STL,20,2,3.0,0.88,0,1,3,22,25,0,60,0,0,0,0
Brian Finley,BOS,25,2,3.04,0.909,0,1,3,30,33,0,59,0,0,0,0
Tomas Pöpperle,CBJ,22,2,1.35,0.929,0,0,1,13,14,0,45,0,0,0,0
Philippe Sauve,BOS,26,2,5.8,0.826,0,0,4,19,23,0,41,0,0,0,0
Martin Houle,PHI,21,1,27.27,0.667,0,0,1,2,3,0,2,0,0,0,0
