Name,Team,Age,GP,GAA,SV%,W,L,GA,SV,SOG,SO,TIME,G,A,P,PIM
Martin Brodeur,NJD,34,78,2.18,0.922,48,23,171,2011,2182,12,4697,0,1,1,12
Roberto Luongo,VAN,27,76,2.28,0.921,47,22,171,1998,2169,5,4490,0,2,2,10
Miikka Kiprusoff,CGY,30,74,2.46,0.917,40,24,181,2009,2190,7,4419,0,0,0,2
Andrew Raycroft,TOR,26,72,2.99,0.894,37,25,205,1726,1931,2,4108,0,1,1,8
Henrik Lundqvist,NYR,24,70,2.34,0.917,37,22,160,1767,1927,5,4109,0,0,0,0
Kari Lehtonen,ATL,23,68,2.79,0.912,34,24,183,1892,2075,4,3934,0,1,1,6
Dwayne Roloson,EDM,37,68,2.75,0.909,27,34,180,1789,1969,4,3932,0,3,3,12
Marc-Andre Fleury,PIT,22,67,2.83,0.906,40,16,184,1770,1954,5,3905,0,3,3,4
Marty Turco,DAL,31,67,2.23,0.911,38,20,140,1424,1564,6,3764,0,4,4,18
Tim Thomas,BOS,32,66,3.13,0.905,30,29,189,1796,1985,3,3619,0,0,0,6
Ryan Miller,BUF,26,63,2.73,0.911,40,16,168,1718,1886,2,3692,0,2,2,2
Rick DiPietro,NYI,25,62,2.58,0.919,32,19,156,1761,1917,5,3627,0,2,2,24
Nikolai Khabibulin,CHI,33,60,2.86,0.902,25,26,163,1505,1668,1,3425,0,0,0,8
Cam Ward,CAR,22,60,2.93,0.897,30,21,167,1458,1625,2,3422,0,1,1,6
Ray Emery,OTT,24,58,2.47,0.918,33,16,138,1553,1691,5,3351,0,1,1,30
Ed Belfour,FLA,41,58,2.77,0.902,27,17,152,1398,1550,1,3289,0,2,2,10
Peter Budaj,COL,24,57,2.68,0.905,31,16,143,1356,1499,3,3199,0,2,2,0
Dominik Hasek,DET,41,56,2.05,0.913,38,11,114,1195,1309,8,3341,0,2,2,20
Jean-Sebastien Giguere,ANA,29,56,2.26,0.918,36,10,122,1368,1490,4,3245,0,2,2,0
Curtis Joseph,PHX,39,55,3.19,0.893,18,31,159,1322,1481,4,2993,0,0,0,10
Fredrik Norrena,CBJ,33,55,2.78,0.904,24,23,137,1283,1420,3,2952,0,0,0,6
Olaf Kölzig,WSH,36,54,3.0,0.91,22,24,159,1612,1771,1,3184,0,3,3,10
Antero Niittymäki,PHI,26,52,3.38,0.894,9,29,166,1401,1567,0,2943,0,0,0,2
Evgeni Nabokov,SJS,31,50,2.29,0.914,25,16,106,1121,1227,7,2778,0,0,0,6
Johan Holmqvist,TBL,28,48,2.85,0.893,27,15,121,1013,1134,1,2548,0,3,3,4
Manny Legace,STL,33,45,2.59,0.907,23,15,109,1068,1177,5,2522,0,0,0,2
Tomas Vokoun,NSH,30,44,2.4,0.92,27,12,104,1195,1299,5,2601,0,2,2,4
Manny Fernandez,MIN,32,44,2.55,0.911,22,16,103,1055,1158,2,2422,0,0,0,12
